,agency_name,agency_status,agency_address,agency_latitude,agency_longitude
131,A & A Tax & Financial Services,OPERATIONAL,"125 Townpark Drive #300, Kennesaw",34.0399228,-84.56708619999999
132,David Butler Enterprises,OPERATIONAL,"2230 Towne Lake Parkway, Woodstock",34.1101912,-84.55190750000001
133,Julie Svardh - State Farm Insurance Agent,OPERATIONAL,"1515 Dean Avenue, Rome",34.2334139,-85.15941560000002
152,John Warren Agency,OPERATIONAL,"319 East Main Street, Cartersville",34.1664597,-84.7900366
171,Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.23683079999999
172,Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.8358454,-83.28100580000002
173,Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.3072607
174,SunTrust,OPERATIONAL,"200 John Howard Way, Tifton",31.4560549,-83.5124123
175,Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.85993169999999,-83.3108369
176,First Commerce Credit Union,OPERATIONAL,"101 North Hutchinson Avenue, Adel",31.1372566,-83.42361939999999
177,Brent Dixon - State Farm Insurance Agent,OPERATIONAL,"119 South Parrish Avenue, Adel",31.1366173,-83.4219944
178,H & H Insurance Solutions Inc,OPERATIONAL,"3342 Greystone Way, Valdosta",30.8826681,-83.29443239999999
179,Barry Broome: Allstate Insurance,OPERATIONAL,"3310 Bemiss Road, Valdosta",30.8851326,-83.27296609999999
180,James R Parker - Aflac Insurance Agent,OPERATIONAL,"4712 Radar Site Road, Valdosta",30.9736726,-83.2412872
181,Tatum Insurance,OPERATIONAL,"2502 C Jerry Jones Drive STE 2, Valdosta",30.8621337,-83.3089806
182,Turner Insurance Services LLC,OPERATIONAL,"2218 North Patterson Street b, Valdosta",30.8576,-83.2893
183,Adel Insurance Inc,OPERATIONAL,"124 South Hutchinson Avenue, Adel",31.1363334,-83.4232822
184,Direct Auto Insurance,OPERATIONAL,"1515 North Ashley Street Suite A, Valdosta",30.84997719999999,-83.2800903
185,Rountree Realty & Insurance,OPERATIONAL,"41 South Robinson Street, Lenox",31.271103,-83.464738
186,"Kelley Insurance Services of GA., Inc.",OPERATIONAL,"2612 1st Avenue Southeast, Moultrie",31.1728938,-83.7525527
187,New York Life Insurance Co: Glen Jones,OPERATIONAL,"2218 North Patterson Street, Valdosta",30.8576,-83.2893
188,Sharon DeMott - State Farm Insurance Agent,OPERATIONAL,"805 South Main Street, Moultrie",31.171721,-83.78854
189,Karen Bennett - Aflac Insurance Agent,OPERATIONAL,"2863 Willow Wood Circle, Valdosta",30.86857209999999,-83.2976649
190,Cotton States Insurance,OPERATIONAL,"114 West 12th Street A, Tifton",31.46359229999999,-83.5082494
209,Aflac: John Driver,OPERATIONAL,"2007 Pinecliff Drive, Valdosta",30.8495412,-83.3247231
228,Laurens County farm bureau,OPERATIONAL,"1511 Telfair Street, Dublin",32.52329229999999,-82.91826209999999
229,John Mark Butler - State Farm Insurance Agent,OPERATIONAL,"1518 Bellevue Road, Dublin",32.5345197,-82.9288134
230,Phillip Gay - State Farm Insurance Agent,OPERATIONAL,"1215 Arch Street, Soperton",32.38164999999999,-82.5870225
231,Ellington Insurance Inc.,OPERATIONAL,"121 South Green Street, Swainsboro",32.5956113,-82.334045
232,Danny E Davis State Farm Insurance,OPERATIONAL,"1203 Bellevue Avenue, Dublin",32.5363763,-82.9221967
233,Quick Cash,OPERATIONAL,"907 Hillcrest Parkway STE B, Dublin",32.5485645,-82.9285085
234,Owen Bailey - State Farm Insurance Agent,OPERATIONAL,"112 Park Place, Dublin",32.53871420000001,-82.9125009
235,Georgia Farm Bureau,OPERATIONAL,"6570 East College Street, Wrightsville",32.72855759999999,-82.71005989999999
236,Middle Georgia Insurance Inc.,OPERATIONAL,"1307 Bellevue Avenue, Dublin",32.5360216,-82.9246921
237,Lovett Insurance Agency Inc.,OPERATIONAL,"510 A Bellevue Avenue, Dublin",32.5378714,-82.9110432
238,Marty Thompson - State Farm Insurance Agent,OPERATIONAL,"8660 South Marcus Street, Wrightsville",32.72923679999999,-82.71940579999999
239,Dublin Insurance Center,OPERATIONAL,"1104 North Jefferson Street, Dublin",32.550722,-82.9127504
240,"Yates Insurance & Real Estate, Inc.",OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.5410595,-82.9503605
241,Clements and Keen Insurance,OPERATIONAL,"503 Bellevue Avenue, Dublin",32.5387242,-82.9103253
242,Curtis Edwards Insurance,OPERATIONAL,"803 Hillcrest Parkway, Dublin",32.5498229,-82.9257521
243,Clark Allison Y,OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.5410894,-82.95036569999999
244,Acceptance Insurance,OPERATIONAL,"1831 Veterans Boulevard Suite C, Dublin",32.5401057,-82.94171229999999
245,BB&T Insurance Services,OPERATIONAL,"101 West Moring Street, Swainsboro",32.595643,-82.3332686
246,American General Life Insurance Co,OPERATIONAL,"1113 Hillcrest Parkway # A, Dublin",32.5457188,-82.9404741
247,Cash Express Title Pawn,OPERATIONAL,"1406 East 1st Street, Vidalia",32.2121033,-82.3951781
266,Bostic & Associates,OPERATIONAL,Dublin,32.5399563,-82.9001096
285,Mike Manning - State Farm Insurance Agent,OPERATIONAL,"408 Jackson Street, Vidalia",32.2136635,-82.4133466
286,Nationwide Insurance: Dennis Banks Agency Inc.,OPERATIONAL,"312 Maple Drive, Vidalia",32.2062328,-82.39105169999999
287,Montgomery Bank & Trust,OPERATIONAL,"1705 East 1st Street, Vidalia",32.2102569,-82.39059379999999
288,Sowell Insurance Inc,OPERATIONAL,"208 College Street, Vidalia",32.22089,-82.4162465
291,Bishop Durden Insurance Group,OPERATIONAL,"400 Jackson Street, Vidalia",32.214352,-82.4129873
292,Kailey Dees - State Farm Insurance Agent,OPERATIONAL,"205 Rigsbee Drive, Vidalia",32.210732,-82.3951515
293,Zorn,OPERATIONAL,"603 West 1st Street, Vidalia",32.2211647,-82.4206107
294,Allstate Insurance Agency,OPERATIONAL,"104 East 1st Street, Vidalia",32.2173742,-82.4124707
295,Dixon O'Neal Agency Inc,OPERATIONAL,"405 West 1st Street, Vidalia",32.2200025,-82.4177095
296,Mt Vernon Insurance,OPERATIONAL,"303 West Spring Street, Mount Vernon",32.1782655,-82.5976299
297,Brown Insurance Group,OPERATIONAL,"510 Church Street, Vidalia",32.2135352,-82.4153597
298,Dustin Booth - COUNTRY Financial representative,OPERATIONAL,"404 Church Street, Vidalia",32.21454039999999,-82.4146031
299,Money Wize Financial Services,OPERATIONAL,"950 Lakewood Drive, Vidalia",32.1979175,-82.44615399999999
300,Palmer & Associates Insurors,OPERATIONAL,"207 East 3rd Street, Vidalia",32.2139754,-82.4119108
301,Ashford Advisors,OPERATIONAL,"313 Maple Drive, Vidalia",32.2065803,-82.3915981
302,"Thigpen Agency, Inc",OPERATIONAL,"302 1st Avenue Ste 4, Vidalia",32.2191724,-82.4096821
303,Georgia Farm Bureau,OPERATIONAL,"255 South Railroad Avenue, Mount Vernon",32.17591410000001,-82.5953771
304,"James M. Swain & Associates, Inc.",OPERATIONAL,"11 Harley Street, Baxley",31.7850823,-82.3490449
323,Emergency Management Agency,OPERATIONAL,"3 Mc Rae Street, Alamo",32.14897240000001,-82.7826153
342,State Farm Insurance,OPERATIONAL,"21 South 2nd Avenue, McRae-Helena",32.067415,-82.8994791
344,Harrell Insurance,OPERATIONAL,"112 West Oak Street, McRae-Helena",32.0681104,-82.8979763
346,Stamps-Walker Agency Inc,OPERATIONAL,"34 West Oak Street, McRae-Helena",32.0681953,-82.9006217
349,Georgia Farm Bureau,OPERATIONAL,"193 East Oak Street, McRae-Helena",32.0619554,-82.88250219999999
354,Allstate Insurance Agency,OPERATIONAL,"90 South Tallahassee Street, Hazlehurst",31.86216289999999,-82.6032568
380,Yates Insurance & Real Estate: Grimsley Wendell,OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.5411038,-82.95030609999999
403,Alfa Insurance - Christina Morrell Agency,OPERATIONAL,"621 Virginia Avenue North Ste 4-B, Tifton",31.4629278,-83.5264035
404,Insurance Unlimited,OPERATIONAL,"602 Tift Avenue, Tifton",31.4575832,-83.5063583
406,Brian York: Allstate Insurance,OPERATIONAL,"162 South Virginia Avenue, Tifton",31.453843,-83.5278173
407,Skip Hill & Associates,OPERATIONAL,"1476 Carpenter Road, Tifton",31.4648155,-83.5036818
409,Nationwide Insurance: Steve Allen Martin,OPERATIONAL,"311 West 12th Street Suite 1, Tifton",31.4651452,-83.5109457
411,Georgia Farm Bureau,OPERATIONAL,Tifton,31.45046290000001,-83.5084973
413,Securitas Financial Services,OPERATIONAL,"301 East Marion Avenue, Nashville",31.2068918,-83.2483092
414,Portier Insurance Agency,OPERATIONAL,"113 North Irwin Avenue, Ocilla",31.59503699999999,-83.250109
415,Rest EZ Title Pawn,OPERATIONAL,"208 East Mcpherson Avenue, Nashville",31.2061236,-83.248993
416,"Sumner Agency, Inc.",OPERATIONAL,"718 2nd Street West, Tifton",31.457359,-83.521529
417,Nationwide Insurance: Coleman Agency Inc.,OPERATIONAL,"210 West 6th Street, Tifton",31.458852,-83.5117891
418,Chance Veazey - State Farm Insurance Agent,OPERATIONAL,"1601 U.S. 41, Tifton",31.4705911,-83.51866079999999
456,Ricky D Jackson Insurance Agency,OPERATIONAL,"Across from Walgreens, 2418 Sylvester Road # 4, Albany",31.57406420000001,-84.0897979
457,Progressive Insurance,OPERATIONAL,"2425 Westgate Drive Ste 131, Albany",31.603645,-84.210875
458,SunTrust,OPERATIONAL,"410 West Broad Avenue, Albany",31.5764911,-84.1576517
459,Georgia Farm Bureau,OPERATIONAL,"145 Robert B Lee Drive, Leesburg",31.72024609999999,-84.16859280000001
460,SunTrust,OPERATIONAL,"710 North Westover Boulevard, Albany",31.6153195,-84.2223776
461,SunTrust,OPERATIONAL,"1559 U.S. Highway 19 South, Leesburg",31.6313368,-84.1761625
462,Henry Harris: Allstate Insurance,OPERATIONAL,"217 Johnson Road Ste G, Albany",31.57128429999999,-84.0915493
463,Louis Powell Agency,OPERATIONAL,"1718 Gillionville Road, Albany",31.5810208,-84.1933031
464,Marvin Gibson: Allstate Insurance,OPERATIONAL,"1509A Dawson Road, Albany",31.58862759999999,-84.18671379999999
465,J Smith Lanier & Co,OPERATIONAL,"611 Pointe North Boulevard, Albany",31.6103965,-84.22642309999999
466,Reid Mathis: Allstate Insurance,OPERATIONAL,"1111 Whispering Pines Road, Albany",31.6052025,-84.1772151
467,Welforce,OPERATIONAL,"2301 Dawson Road # 2, Albany",31.603894,-84.20424899999999
468,"Toole Budget Insurance Agency, Inc.",OPERATIONAL,"1301 North Slappey Boulevard, Albany",31.5948296,-84.1763199
469,The Family Agency,OPERATIONAL,"1712 Gillionville Road, Albany",31.581001,-84.19245599999999
470,Steve Perrine - State Farm Insurance Agent,OPERATIONAL,"537 North Westover Boulevard, Albany",31.60726789999999,-84.2229466
471,Henry Brian,OPERATIONAL,"608 North Slappey Boulevard, Albany",31.5852161,-84.1758795
472,Auto-Owners Insurance Co,OPERATIONAL,"2415 Westgate Drive, Albany",31.60465199999999,-84.20955819999999
473,Copelan Insurance,OPERATIONAL,"2401 North Slappey Boulevard, Albany",31.609191,-84.176225
474,Alfa Insurance - Mike Trull Agency,OPERATIONAL,"2831 Ledo Road b1, Albany",31.623131,-84.215164
475,Ford Insurance Inc,OPERATIONAL,"110 South Isabella Street, Sylvester",31.5241139,-83.83809769999999
494,Kent Nance Sr - State Farm Insurance Agent,OPERATIONAL,"110 Cordele Road #5, Albany",31.5768684,-84.0900992
513,Lynn M Sims - Aflac Insurance Agent,OPERATIONAL,"125 Plantation Centre Drive South, Macon",32.875999,-83.760286
514,Georgia Farm Bureau,OPERATIONAL,"7664 U.S. 19, Zebulon",33.0932067,-84.34481790000001
515,Jason B West - Aflac Insurance Agent,OPERATIONAL,"6501 Peake Road #950, Macon",32.8772949,-83.760691
516,Pfs Investments Inc,OPERATIONAL,"3312 Northside Drive, Macon",32.8911416,-83.6797454
517,Bolder Investment Group LLC,OPERATIONAL,"1701 Bass Road, Macon",32.9350019,-83.72319279999999
518,Source One Insurance and Benefits Group,OPERATIONAL,"4931 Riverside Drive ste 100e, Macon",32.9263947,-83.7114921
519,New York Life,OPERATIONAL,"6055 Lakeside Commons Drive # 300, Macon",32.9234352,-83.731555
520,R Q Reinsurance Solutions,OPERATIONAL,"3920 Arkwright Road, Macon",32.90645629999999,-83.68804449999999
521,Aflac,OPERATIONAL,"137 School Road, Hampton",33.3399667,-84.2958869
522,Brian Andrews State Farm Insurance,OPERATIONAL,"1748 Hwy 81 East, McDonough",33.427948,-84.09497499999999
523,Southeast Community Care,OPERATIONAL,"3920 Arkwright Road # 370, Macon",32.90645629999999,-83.68804449999999
524,Insurance Hub,OPERATIONAL,"101 Commerce Place #2, Barnesville",33.0522247,-84.15797909999999
525,Alexander Heath & Walker Insurance,OPERATIONAL,"642 Veterans Parkway, Barnesville",33.0450672,-84.1697834
526,Teresa Grubbs - State Farm Insurance Agent,OPERATIONAL,"426 South Hill Street, Griffin",33.2434495,-84.2635797
527,Bartlett Insurance: Melissa Bartlett Agent,OPERATIONAL,"111 South 13th Street, Griffin",33.2483198,-84.27371049999999
528,Rita Johnson - State Farm Insurance Agent,OPERATIONAL,"1522 Lucky Street, Griffin",33.2800613,-84.290358
529,Trennis Dumas - State Farm Insurance Agent,OPERATIONAL,"943 North Church Street, Thomaston",32.91478710000001,-84.33271739999999
530,Hillery McBroom: Allstate Insurance,OPERATIONAL,"133 Forsyth Street, Barnesville",33.0544197,-84.15385839999999
531,MGH Insurance,OPERATIONAL,"300 Wilson Road # 300, Griffin",33.2312774,-84.2332534
532,Dora Cox Realty,OPERATIONAL,"107 Craftsman Way, Milner",33.1321447,-84.1580036
551,Kay Robinson - State Farm Insurance Agent,OPERATIONAL,"412 West Gordon Street, Thomaston",32.88741009999999,-84.3312254
570,Padgett Insurance Agency,OPERATIONAL,"11258 Ford Avenue #10, Richmond Hill",31.93331009999999,-81.3002008
571,Melissa Ray - State Farm Insurance Agent,OPERATIONAL,"119 Ryon Avenue, Hinesville",31.840569,-81.595619
572,Central Insurance Agency,OPERATIONAL,"452 West General Screven Way # A, Hinesville",31.8520887,-81.6059143
573,Martin Insurance,OPERATIONAL,"206 North Main Street, Hinesville",31.8492803,-81.595641
574,Joseph Grant - State Farm Insurance Agent,OPERATIONAL,"101 West Oglethorpe Highway, Hinesville",31.8476402,-81.5914315
575,Boyd Insurance Services,OPERATIONAL,"324 North Main Street STE A, Hinesville",31.8523525,-81.5947972
576,Georgia Farm Bureau,OPERATIONAL,"562 Elma G Miles Parkway, Hinesville",31.835983,-81.607333
577,Richmond Hill Insurance Agency,OPERATIONAL,"2409 U.S. 17 b, Richmond Hill",31.9484043,-81.3127446
578,New York Life,OPERATIONAL,"192 East Cherry Street, Jesup",31.6036441,-81.8814858
579,Barker & Associates Insurance,OPERATIONAL,"31 Constitution Way b, Richmond Hill",31.9403791,-81.3057819
580,Bill Lucas Insurance,OPERATIONAL,"2591 U.S. 17 #300, Richmond Hill",31.9462458,-81.313971
581,David Earl Keith - State Farm Insurance Agent,OPERATIONAL,"107 West Plum Street, Jesup",31.604256,-81.88456130000002
582,Parker Insurance & Realty Co: Oliver Shawn,OPERATIONAL,"265 South Macon Street, Jesup",31.6044843,-81.8859014
583,Shaun O'Quinn - COUNTRY Financial representative,OPERATIONAL,"212 South 1st Street Ste 1, Jesup",31.60615629999999,-81.8868456
584,Andy Bennett: Allstate Insurance,OPERATIONAL,"820 West Oglethorpe Highway, Hinesville",31.8215394,-81.5993938
585,Brown Insurance,OPERATIONAL,"808 West Oglethorpe Highway, Hinesville",31.8221467,-81.5993175
586,Auto Direct General,OPERATIONAL,"456 West General Screven Way, Hinesville",31.85281,-81.60586110000001
587,babs insurance agency,OPERATIONAL,"5654 a hwy 17, Richmond Hill",31.914523,-81.349649
588,Michael Long - Prudential Financial,OPERATIONAL,"212 South Brunswick Street, Jesup",31.6027283,-81.882589
589,Thrivent Financial: Coastal Advantage Group,OPERATIONAL,"785 King George Boulevard Ste 205, Savannah",31.9878756,-81.2131153
608,John Smith - State Farm Insurance Agent,OPERATIONAL,"11712 Largo Drive, Savannah",31.9821727,-81.1480875
628,SunTrust,OPERATIONAL,"606 Cherry Street, Macon",32.8365373,-83.629397
631,Chance Douglas,OPERATIONAL,"14010 U.S. 80, Jeffersonville",32.6830288,-83.3414081
636,Alco Insurance Agency,OPERATIONAL,"115 W, East Cherry Street, Cochran",32.3865845,-83.3567947
637,Russell Harding Insurance,OPERATIONAL,"103 Bacon Street, Irwinton",32.8109833,-83.1734172
644,Cochran Insurance & Realty,OPERATIONAL,"128 North Second Street # C, Cochran",32.38854749999999,-83.3569662
646,White Oak Insurance Services - Formerly Budget Insurance Agency,OPERATIONAL,"2306 Moody Road, Warner Robins",32.5869338,-83.6224395
665,DDHT Insurors,OPERATIONAL,"1221 South Houston Lake Road Ste 2, Warner Robins",32.567716,-83.66238899999999
684,Georgia Farm Bureau,OPERATIONAL,"1782 Martin Luther King Junior Avenue, Baxley",31.7790058,-82.34311199999999
686,Horace Mann Insurance Co,OPERATIONAL,"405 North Dixon Street, Alma",31.5457234,-82.4684625
687,Vic Brantley - State Farm Insurance Agent,OPERATIONAL,"485 South Main Street, Baxley",31.7717421,-82.35082829999999
688,John Hughes - State Farm Insurance Agent,OPERATIONAL,"710 South Dixon Street, Alma",31.5349643,-82.46533509999999
689,Cotton States Insurance Co,OPERATIONAL,Alma,31.5394202,-82.4623536
690,Advantage South,OPERATIONAL,"134 GA Hwy 32, Bypass, Alma",31.5390915,-82.4722621
691,"Bennett, Bennett & Johnson Insurance Agency",OPERATIONAL,"414 South Dixon Street, Alma",31.5386794,-82.46800549999999
692,Rentz & Rentz Insurance,OPERATIONAL,"453 South Main Street, Baxley",31.7720339,-82.350717
693,"Kauger Insurance Group, Inc.",OPERATIONAL,"100 South Main Street, Baxley",31.7771203,-82.3492335
694,Jones- Ray Insurance Agency Inc,OPERATIONAL,"513 West 12th Street, Alma",31.5422511,-82.4692743
695,Georgia Farm Bureau,OPERATIONAL,"729 Hendry Street #1019, Blackshear",31.3125719,-82.25017749999999
696,Jon Wheeler - COUNTRY Financial representative,OPERATIONAL,"118 Azalea Road Ste 5, Baxley",31.78510669999999,-82.36261499999999
697,General Insurance,OPERATIONAL,"395 West Parker Street #8, Baxley",31.77999509999999,-82.35514890000002
698,Allied Insurance,OPERATIONAL,"52 Willow Street, West Green",31.611759,-82.7347976
699,Boatright Nancy L,OPERATIONAL,"453 South Main Street, Baxley",31.7711154,-82.35131349999999
700,"Jack P. Saussy, AAI CPIA - AFLAC",OPERATIONAL,"1473 North River Oaks Drive, Blackshear",31.2659319,-82.3444224
701,BurseCo Financial Services,OPERATIONAL,"875 Tebeau Street, Waycross",31.2164359,-82.3604249
702,Farmers Insurance - Lisa Pearce,OPERATIONAL,"395 West Parker Street #8, Baxley",31.7799711,-82.35499740000002
703,McNeal-Sports & Co. Insurance Agency,OPERATIONAL,"2000 Plant Avenue, Waycross",31.2227978,-82.3427289
722,David Johnson,OPERATIONAL,"90 South Tallahassee Street, Hazlehurst",31.8620827,-82.6032207
755,Risk Management & Information Systems,OPERATIONAL,"191 Peachtree Street, Atlanta",33.7590563,-84.3873043
756,Assurant,OPERATIONAL,"2405 Commerce Avenue Northwest # 100, Duluth",33.9672012,-84.1196365
757,Nationwide Insurance: Sean Choi Agency,OPERATIONAL,"2550 Pleasant Hill Road Ste 115, Duluth",33.9699184,-84.14444490000001
759,Admiral Insurance Co,OPERATIONAL,"6455 East Johns Crossing # 325, Duluth",34.0624746,-84.16946229999999
760,Litigation & Claims Services Inc,OPERATIONAL,"12460 Crabapple Road, Alpharetta",34.0858388,-84.356916
779,Insure Solutions,OPERATIONAL,"1 Glenlake Parkway Northeast, Atlanta",33.9345559,-84.36011979999999
810,Allstate Insurance Agency,OPERATIONAL,"108 North Main Street A, Reidsville",32.08756769999999,-82.1184572
836,Trowell Insurance,OPERATIONAL,"12 East Odum Street, Hazlehurst",31.8643126,-82.5987664
855,Pre-paid Legal Services & Identity Theft Protection,OPERATIONAL,Dahlonega,34.5260901,-83.98434859999999
856,Travelers,OPERATIONAL,"3885 Mundy Mill Road, Oakwood",34.233052,-83.8744276
857,Aflac,OPERATIONAL,"629 Dawsonville Highway, Gainesville",34.2947912,-83.8530979
858,Aflac,OPERATIONAL,"958 McEver Road # B3, Gainesville",34.29663230000001,-83.8633444
859,Aflac,OPERATIONAL,"2420 Old Flowery Branch Road # 105, Gainesville",34.2732311,-83.8617098
860,Georgia Farm Bureau,OPERATIONAL,"2405 Lighthouse Manor Drive, Gainesville",34.32673599999999,-83.806016
