,agency_name,agency_status,agency_address,agency_latitude,agency_longitude,latlng,city,GA_state,county,agency_simple
32,Fresenius Medical Care at Select Specialty-Atlanta,OPERATIONAL,"550 West Peachtree Street Northwest, Atlanta",33.768494399999994,-84.3860605,"33.768494399999994,-84.3860605",Atlanta,Georgia,Fulton County,Fresenius Medical Care at Select Specialty-Atlanta
33,"Hart Capital, LLLP",OPERATIONAL,"2625 Piedmont Road Northeast, Atlanta",33.8274164,-84.36521429999999,"33.82741639999999,-84.36521429999998",Atlanta,Georgia,Fulton County,"Hart Capital, LLLP"
34,Steve Paige - State Farm Insurance Agent,OPERATIONAL,"8525 Dunwoody Place bldg 14, Sandy Springs",33.9873975,-84.34034559999999,"33.9873975,-84.34034559999998",Sandy Springs,Georgia,Fulton County,Statefarm
35,Gregory Greenfield & Associates Ltd,OPERATIONAL,"5775 Peachtree Dunwoody Road, Atlanta",33.9116643,-84.3504921,"33.9116643,-84.35049210000003",Sandy Springs,Georgia,Fulton County,Gregory Greenfield & Associates Ltd
36,Ubs Holdings LLC,OPERATIONAL,"1197 Peachtree Street Northeast, Atlanta",33.7869047,-84.38266490000001,"33.7869047,-84.38266490000001",Atlanta,Georgia,Fulton County,Ubs Holdings LLC
37,"Financial Benefits, Inc",OPERATIONAL,"1201 Peachtree St, 400 Colony Square #1730, Atlanta",33.887395500000004,-84.4678804,"33.887395500000004,-84.46788040000001",Atlanta,Georgia,Cobb County,"Financial Benefits, Inc"
38,Allstate Personal Financial Representative: Joseph Carbone,OPERATIONAL,"3750 Palladian Village Drive Apt 21, Marietta",34.0411948,-84.4765355,"34.0411948,-84.4765355",Marietta,Georgia,Cobb County,Allstate
39,"T. J. O'Brien & Associates, Inc. - A Member Firm of The Plus Group",OPERATIONAL,"1899 Powers Ferry Road # 232, Atlanta",33.907814,-84.464341,"33.90781399999999,-84.46434099999998",Atlanta,Georgia,Cobb County,"T. J. O'Brien & Associates, Inc. - A Member Firm of The Plus Group"
40,Integrity Medicare Solutions,OPERATIONAL,"270 Cobb Parkway Southeast, Marietta",33.945297100000005,-84.5193516,"33.945297100000005,-84.51935160000002",Marietta,Georgia,Cobb County,Integrity Medicare Solutions
41,Aflac,OPERATIONAL,"107 Redmond Road, Rome",34.2779269,-85.1860407,"34.2779269,-85.18604069999998",Rome,Georgia,Floyd County,Aflac
42,Aflac,OPERATIONAL,"107 Postelle Street, Cartersville",34.166364,-84.79917629999998,"34.166364,-84.79917629999998",Cartersville,Georgia,Bartow County,Aflac
43,White Insurance Metro Atlanta,OPERATIONAL,"3104 Creekside Village Drive Northwest Suite 101, Kennesaw",34.0321936,-84.65577590000001,"34.03219360000001,-84.65577590000001",Kennesaw,Georgia,Cobb County,White Insurance Metro Atlanta
44,Farmers Insurance- The Hathaway Agency,OPERATIONAL,"3905 Jiles Road, Kennesaw",34.049011,-84.619939,"34.049011,-84.619939",Kennesaw,Georgia,Cobb County,Farmers Insurance- The Hathaway Agency
45,Unum,OPERATIONAL,"415 Smith Road, LaFayette",34.6241932,-85.13815090000001,"34.6241932,-85.13815090000001",LaFayette,Georgia,Walker County,Unum
46,Triumph Advisors,OPERATIONAL,"2230 Towne Lake Parkway, Woodstock",34.110071999999995,-84.552552,"34.110071999999995,-84.55255199999998",Woodstock,Georgia,Cherokee County,Triumph Advisors
47,Acceptance Insurance,OPERATIONAL,"960 North Tennessee Street, Cartersville",34.1875931,-84.7961448,"34.1875931,-84.7961448",Cartersville,Georgia,Bartow County,Acceptance Insurance
48,Aflac,OPERATIONAL,"507 South Thornton Avenue, Dalton",34.76664,-84.9712132,"34.76663999999999,-84.9712132",Dalton,Georgia,Whitfield County,Aflac
49,Aflac,OPERATIONAL,"714 South Thornton Avenue # D, Dalton",34.7621158,-84.97188340000001,"34.7621158,-84.97188340000001",Dalton,Georgia,Whitfield County,Aflac
50,Meadowbrook Insurance LLC,OPERATIONAL,"300 Parkbrooke Place, Woodstock",34.110072100000004,-84.56005390000001,"34.110072100000004,-84.56005390000001",Woodstock,Georgia,Cherokee County,Meadowbrook Insurance LLC
51,Wayne White Insurance Agency,OPERATIONAL,"127 Kenmorland Circle, Calhoun",34.477752200000005,-84.93101159999999,"34.47775219999999,-84.93101159999998",Calhoun,Georgia,Gordon County,Wayne White Insurance Agency
52,Healthtrust Financial Network,OPERATIONAL,"85 Golf Crest Drive # 205, Acworth",34.0503081,-84.759842,"34.0503081,-84.75984199999998",Acworth,Georgia,Paulding County,Healthtrust Financial Network
53,Grover Lunsford - State Farm Insurance Agent,OPERATIONAL,"972 Rome Road Southwest, Calhoun",34.470015000000004,-84.97322220000001,"34.47001499999999,-84.97322220000001",Calhoun,Georgia,Gordon County,Statefarm
54,Georgia Farm Bureau,OPERATIONAL,"487 West Belmont Drive, Calhoun",34.481685999999996,-84.946225,"34.481685999999996,-84.946225",Calhoun,Georgia,Gordon County,Farm Bureau
55,Aetna- Authorized Agent,OPERATIONAL,"4463 Towne Lake Parkway #100, Woodstock",34.126731,-84.572263,"34.126731,-84.57226299999998",Woodstock,Georgia,Cherokee County,Aetna- Authorized Agent
56,Rutledge Agency,OPERATIONAL,"5508 Corn Mill Lane, Powder Springs",33.97110870000001,-84.7139065,"33.97110869999999,-84.7139065",Powder Springs,Georgia,Cobb County,Rutledge Agency
57,Abbey Insurance,OPERATIONAL,"3950 Cobb Parkway Northwest # 105, Acworth",34.05164179999999,-84.70110600000001,"34.05164180000001,-84.70110600000001",Acworth,Georgia,Cobb County,Abbey Insurance
58,A & A Tax & Financial Services,OPERATIONAL,"125 Townpark Drive #300, Kennesaw",34.03992279999999,-84.5670862,"34.03992279999999,-84.56708619999998",Kennesaw,Georgia,Cobb County,A & A Tax & Financial Services
59,David Butler Enterprises,OPERATIONAL,"2230 Towne Lake Parkway, Woodstock",34.1101912,-84.5519075,"34.1101912,-84.55190750000001",Woodstock,Georgia,Cherokee County,David Butler Enterprises
60,Julie Svardh - State Farm Insurance Agent,OPERATIONAL,"1515 Dean Avenue, Rome",34.233413899999995,-85.1594156,"34.233413899999995,-85.15941560000002",Rome,Georgia,Floyd County,Statefarm
61,John Warren Agency,OPERATIONAL,"319 East Main Street, Cartersville",34.166459700000004,-84.7900366,"34.166459700000004,-84.7900366",Cartersville,Georgia,Bartow County,John Warren Agency
62,Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.23683079999999,"30.9475647,-83.23683079999998",Valdosta,Georgia,Lowndes County,Aflac
63,Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.835845399999997,-83.2810058,"30.835845399999997,-83.28100580000002",Valdosta,Georgia,Lowndes County,Aaaa 4A Insurance Corporation
64,Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.30726070000001,"30.8787783,-83.30726070000001",Valdosta,Georgia,Lowndes County,Farm Bureau
65,Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.859931699999997,-83.31083690000001,"30.85993169999999,-83.31083690000001",Valdosta,Georgia,Lowndes County,Statefarm
66,First Commerce Credit Union,OPERATIONAL,"101 North Hutchinson Avenue, Adel",31.1372566,-83.4236194,"31.1372566,-83.42361939999998",Adel,Georgia,Cook County,First Commerce Credit Union
67,Brent Dixon - State Farm Insurance Agent,OPERATIONAL,"119 South Parrish Avenue, Adel",31.1366173,-83.4219944,"31.1366173,-83.4219944",Adel,Georgia,Cook County,Statefarm
68,H & H Insurance Solutions Inc,OPERATIONAL,"3342 Greystone Way, Valdosta",30.882668100000004,-83.2944324,"30.882668100000004,-83.29443239999998",Valdosta,Georgia,Lowndes County,H & H Insurance Solutions Inc
69,Barry Broome: Allstate Insurance,OPERATIONAL,"3310 Bemiss Road, Valdosta",30.8851326,-83.27296609999999,"30.8851326,-83.27296609999998",Valdosta,Georgia,Lowndes County,Allstate
70,James R Parker - Aflac Insurance Agent,OPERATIONAL,"4712 Radar Site Road, Valdosta",30.973672600000004,-83.2412872,"30.973672600000004,-83.2412872",Valdosta,Georgia,Lowndes County,Aflac
71,Tatum Insurance,OPERATIONAL,"2502 C Jerry Jones Drive STE 2, Valdosta",30.8621337,-83.3089806,"30.8621337,-83.3089806",Valdosta,Georgia,Lowndes County,Tatum Insurance
72,Turner Insurance Services LLC,OPERATIONAL,"2218 North Patterson Street b, Valdosta",30.8576,-83.2893,"30.8576,-83.2893",Valdosta,Georgia,Lowndes County,Turner Insurance Services LLC
73,Adel Insurance Inc,OPERATIONAL,"124 South Hutchinson Avenue, Adel",31.136333399999998,-83.4232822,"31.136333399999998,-83.4232822",Adel,Georgia,Cook County,Adel Insurance Inc
74,Direct Auto Insurance,OPERATIONAL,"1515 North Ashley Street Suite A, Valdosta",30.8499772,-83.2800903,"30.84997719999999,-83.2800903",Valdosta,Georgia,Lowndes County,Direct Auto Insurance
75,Rountree Realty & Insurance,OPERATIONAL,"41 South Robinson Street, Lenox",31.271103000000004,-83.464738,"31.271103000000004,-83.464738",Lenox,Georgia,Cook County,Rountree Realty & Insurance
76,"Kelley Insurance Services of GA., Inc.",OPERATIONAL,"2612 1st Avenue Southeast, Moultrie",31.1728938,-83.7525527,"31.1728938,-83.7525527",Moultrie,Georgia,Colquitt County,"Kelley Insurance Services of GA., Inc."
77,Sharon DeMott - State Farm Insurance Agent,OPERATIONAL,"805 South Main Street, Moultrie",31.171721,-83.78854,"31.171721,-83.78854",Moultrie,Georgia,Colquitt County,Statefarm
78,Karen Bennett - Aflac Insurance Agent,OPERATIONAL,"2863 Willow Wood Circle, Valdosta",30.8685721,-83.29766490000002,"30.86857209999999,-83.29766490000002",Valdosta,Georgia,Lowndes County,Aflac
79,Cotton States Insurance,OPERATIONAL,"114 West 12th Street A, Tifton",31.463592300000002,-83.50824940000001,"31.46359229999999,-83.50824940000001",Tifton,Georgia,Tift County,Cotton States Insurance
80,Aflac: John Driver,OPERATIONAL,"2007 Pinecliff Drive, Valdosta",30.8495412,-83.32472309999999,"30.8495412,-83.32472309999999",Valdosta,Georgia,Lowndes County,Aflac
81,Laurens County farm bureau,OPERATIONAL,"1511 Telfair Street, Dublin",32.5232923,-82.91826209999999,"32.52329229999999,-82.91826209999998",Dublin,Georgia,Laurens County,Farm Bureau
82,John Mark Butler - State Farm Insurance Agent,OPERATIONAL,"1518 Bellevue Road, Dublin",32.5345197,-82.92881340000001,"32.5345197,-82.92881340000001",Dublin,Georgia,Laurens County,Statefarm
83,Phillip Gay - State Farm Insurance Agent,OPERATIONAL,"1215 Arch Street, Soperton",32.38165,-82.5870225,"32.38164999999999,-82.5870225",Soperton,Georgia,Treutlen County,Statefarm
84,Ellington Insurance Inc.,OPERATIONAL,"121 South Green Street, Swainsboro",32.5956113,-82.33404499999999,"32.5956113,-82.33404499999999",Swainsboro,Georgia,Emanuel County,Ellington Insurance Inc.
85,Danny E Davis State Farm Insurance,OPERATIONAL,"1203 Bellevue Avenue, Dublin",32.5363763,-82.9221967,"32.5363763,-82.9221967",Dublin,Georgia,Laurens County,Statefarm
86,Quick Cash,OPERATIONAL,"907 Hillcrest Parkway STE B, Dublin",32.548564500000005,-82.92850849999999,"32.548564500000005,-82.92850849999999",Dublin,Georgia,Laurens County,Quick Cash
87,Owen Bailey - State Farm Insurance Agent,OPERATIONAL,"112 Park Place, Dublin",32.5387142,-82.91250090000001,"32.53871420000001,-82.91250090000001",Dublin,Georgia,Laurens County,Statefarm
88,Georgia Farm Bureau,OPERATIONAL,"6570 East College Street, Wrightsville",32.7285576,-82.7100599,"32.72855759999999,-82.71005989999998",Wrightsville,Georgia,Johnson County,Farm Bureau
89,Middle Georgia Insurance Inc.,OPERATIONAL,"1307 Bellevue Avenue, Dublin",32.5360216,-82.9246921,"32.5360216,-82.9246921",Dublin,Georgia,Laurens County,Middle Georgia Insurance Inc.
90,Lovett Insurance Agency Inc.,OPERATIONAL,"510 A Bellevue Avenue, Dublin",32.5378714,-82.91104320000001,"32.5378714,-82.91104320000001",Dublin,Georgia,Laurens County,Lovett Insurance Agency Inc.
91,Marty Thompson - State Farm Insurance Agent,OPERATIONAL,"8660 South Marcus Street, Wrightsville",32.7292368,-82.71940579999999,"32.72923679999999,-82.71940579999998",Wrightsville,Georgia,Johnson County,Statefarm
92,Dublin Insurance Center,OPERATIONAL,"1104 North Jefferson Street, Dublin",32.550722,-82.91275040000001,"32.550722,-82.91275040000001",Dublin,Georgia,Laurens County,Dublin Insurance Center
93,"Yates Insurance & Real Estate, Inc.",OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.541059499999996,-82.9503605,"32.541059499999996,-82.9503605",Dublin,Georgia,Laurens County,"Yates Insurance & Real Estate, Inc."
94,Clements and Keen Insurance,OPERATIONAL,"503 Bellevue Avenue, Dublin",32.5387242,-82.9103253,"32.5387242,-82.9103253",Dublin,Georgia,Laurens County,Clements and Keen Insurance
95,Curtis Edwards Insurance,OPERATIONAL,"803 Hillcrest Parkway, Dublin",32.5498229,-82.9257521,"32.5498229,-82.9257521",Dublin,Georgia,Laurens County,Curtis Edwards Insurance
96,Clark Allison Y,OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.5410894,-82.9503657,"32.5410894,-82.95036569999998",Dublin,Georgia,Laurens County,Clark Allison Y
97,Acceptance Insurance,OPERATIONAL,"1831 Veterans Boulevard Suite C, Dublin",32.5401057,-82.9417123,"32.5401057,-82.94171229999998",Dublin,Georgia,Laurens County,Acceptance Insurance
98,American General Life Insurance Co,OPERATIONAL,"1113 Hillcrest Parkway # A, Dublin",32.5457188,-82.94047409999999,"32.5457188,-82.94047409999999",Dublin,Georgia,Laurens County,American General Life Insurance Co
99,Cash Express Title Pawn,OPERATIONAL,"1406 East 1st Street, Vidalia",32.2121033,-82.3951781,"32.2121033,-82.3951781",Vidalia,Georgia,Toombs County,Cash Express Title Pawn
100,Bostic & Associates,OPERATIONAL,Dublin,32.5399563,-82.9001096,"32.5399563,-82.9001096",Dublin,Georgia,Laurens County,Bostic & Associates
101,Mike Manning - State Farm Insurance Agent,OPERATIONAL,"408 Jackson Street, Vidalia",32.2136635,-82.41334659999998,"32.2136635,-82.41334659999998",Vidalia,Georgia,Toombs County,Statefarm
102,Nationwide Insurance: Dennis Banks Agency Inc.,OPERATIONAL,"312 Maple Drive, Vidalia",32.206232799999995,-82.3910517,"32.206232799999995,-82.39105169999998",Vidalia,Georgia,Toombs County,Nationwide
103,Montgomery Bank & Trust,OPERATIONAL,"1705 East 1st Street, Vidalia",32.2102569,-82.39059379999999,"32.2102569,-82.39059379999998",Vidalia,Georgia,Toombs County,Montgomery Bank & Trust
104,Sowell Insurance Inc,OPERATIONAL,"208 College Street, Vidalia",32.220890000000004,-82.4162465,"32.220890000000004,-82.4162465",Vidalia,Georgia,Toombs County,Sowell Insurance Inc
105,Bishop Durden Insurance Group,OPERATIONAL,"400 Jackson Street, Vidalia",32.214352000000005,-82.4129873,"32.214352000000005,-82.4129873",Vidalia,Georgia,Toombs County,Bishop Durden Insurance Group
106,Kailey Dees - State Farm Insurance Agent,OPERATIONAL,"205 Rigsbee Drive, Vidalia",32.210732,-82.3951515,"32.210732,-82.3951515",Vidalia,Georgia,Toombs County,Statefarm
107,Zorn,OPERATIONAL,"603 West 1st Street, Vidalia",32.2211647,-82.42061070000001,"32.2211647,-82.42061070000001",Vidalia,Georgia,Toombs County,Zorn
108,Allstate Insurance Agency,OPERATIONAL,"104 East 1st Street, Vidalia",32.217374199999995,-82.4124707,"32.217374199999995,-82.4124707",Vidalia,Georgia,Toombs County,Allstate
109,Dixon O'Neal Agency Inc,OPERATIONAL,"405 West 1st Street, Vidalia",32.2200025,-82.4177095,"32.2200025,-82.4177095",Vidalia,Georgia,Toombs County,Dixon O'Neal Agency Inc
110,Mt Vernon Insurance,OPERATIONAL,"303 West Spring Street, Mount Vernon",32.1782655,-82.59762990000002,"32.1782655,-82.59762990000002",Mount Vernon,Georgia,Montgomery County,Mt Vernon Insurance
111,Brown Insurance Group,OPERATIONAL,"510 Church Street, Vidalia",32.2135352,-82.41535970000001,"32.2135352,-82.41535970000001",Vidalia,Georgia,Toombs County,Brown Insurance Group
112,Dustin Booth - COUNTRY Financial representative,OPERATIONAL,"404 Church Street, Vidalia",32.2145404,-82.4146031,"32.21454039999999,-82.4146031",Vidalia,Georgia,Toombs County,Country
113,Money Wize Financial Services,OPERATIONAL,"950 Lakewood Drive, Vidalia",32.197917499999996,-82.446154,"32.197917499999996,-82.44615399999998",Vidalia,Georgia,Montgomery County,Money Wize Financial Services
114,Palmer & Associates Insurors,OPERATIONAL,"207 East 3rd Street, Vidalia",32.213975399999995,-82.4119108,"32.213975399999995,-82.4119108",Vidalia,Georgia,Toombs County,Palmer & Associates Insurors
115,Ashford Advisors,OPERATIONAL,"313 Maple Drive, Vidalia",32.2065803,-82.3915981,"32.2065803,-82.3915981",Vidalia,Georgia,Toombs County,Ashford Advisors
116,"Thigpen Agency, Inc",OPERATIONAL,"302 1st Avenue Ste 4, Vidalia",32.2191724,-82.4096821,"32.2191724,-82.4096821",Vidalia,Georgia,Toombs County,"Thigpen Agency, Inc"
117,Georgia Farm Bureau,OPERATIONAL,"255 South Railroad Avenue, Mount Vernon",32.1759141,-82.5953771,"32.17591410000001,-82.5953771",Mount Vernon,Georgia,Montgomery County,Farm Bureau
118,"James M. Swain & Associates, Inc.",OPERATIONAL,"11 Harley Street, Baxley",31.785082300000003,-82.3490449,"31.785082300000003,-82.3490449",Baxley,Georgia,Appling County,"James M. Swain & Associates, Inc."
119,Emergency Management Agency,OPERATIONAL,"3 Mc Rae Street, Alamo",32.1489724,-82.78261529999999,"32.14897240000001,-82.78261529999999",Alamo,Georgia,Wheeler County,Emergency Management Agency
120,State Farm Insurance,OPERATIONAL,"21 South 2nd Avenue, McRae-Helena",32.067415000000004,-82.8994791,"32.067415000000004,-82.8994791",McRae-Helena,Georgia,Telfair County,Statefarm
121,Harrell Insurance,OPERATIONAL,"112 West Oak Street, McRae-Helena",32.0681104,-82.8979763,"32.0681104,-82.8979763",McRae-Helena,Georgia,Telfair County,Harrell Insurance
122,Stamps-Walker Agency Inc,OPERATIONAL,"34 West Oak Street, McRae-Helena",32.0681953,-82.9006217,"32.0681953,-82.9006217",McRae-Helena,Georgia,Telfair County,Stamps-Walker Agency Inc
123,Georgia Farm Bureau,OPERATIONAL,"193 East Oak Street, McRae-Helena",32.0619554,-82.8825022,"32.0619554,-82.88250219999998",McRae-Helena,Georgia,Telfair County,Farm Bureau
124,Allstate Insurance Agency,OPERATIONAL,"90 South Tallahassee Street, Hazlehurst",31.862162899999994,-82.6032568,"31.86216289999999,-82.6032568",Hazlehurst,Georgia,Jeff Davis County,Allstate
125,Yates Insurance & Real Estate: Grimsley Wendell,OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.5411038,-82.95030609999999,"32.5411038,-82.95030609999998",Dublin,Georgia,Laurens County,Yates Insurance & Real Estate: Grimsley Wendell
126,Alfa Insurance - Christina Morrell Agency,OPERATIONAL,"621 Virginia Avenue North Ste 4-B, Tifton",31.4629278,-83.5264035,"31.4629278,-83.5264035",Tifton,Georgia,Tift County,Alfa
127,Insurance Unlimited,OPERATIONAL,"602 Tift Avenue, Tifton",31.4575832,-83.5063583,"31.4575832,-83.5063583",Tifton,Georgia,Tift County,Insurance Unlimited
128,Brian York: Allstate Insurance,OPERATIONAL,"162 South Virginia Avenue, Tifton",31.453843,-83.5278173,"31.453843,-83.5278173",Tifton,Georgia,Tift County,Allstate
129,Skip Hill & Associates,OPERATIONAL,"1476 Carpenter Road, Tifton",31.464815500000004,-83.5036818,"31.464815500000004,-83.5036818",Tifton,Georgia,Tift County,Skip Hill & Associates
130,Nationwide Insurance: Steve Allen Martin,OPERATIONAL,"311 West 12th Street Suite 1, Tifton",31.4651452,-83.51094570000001,"31.4651452,-83.51094570000001",Tifton,Georgia,Tift County,Nationwide
131,Georgia Farm Bureau,OPERATIONAL,Tifton,31.450462899999994,-83.5084973,"31.45046290000001,-83.5084973",Tifton,Georgia,Tift County,Farm Bureau
132,Securitas Financial Services,OPERATIONAL,"301 East Marion Avenue, Nashville",31.2068918,-83.24830920000001,"31.2068918,-83.24830920000001",Nashville,Georgia,Berrien County,Securitas Financial Services
133,Portier Insurance Agency,OPERATIONAL,"113 North Irwin Avenue, Ocilla",31.595036999999998,-83.250109,"31.59503699999999,-83.250109",Ocilla,Georgia,Irwin County,Portier Insurance Agency
134,Rest EZ Title Pawn,OPERATIONAL,"208 East Mcpherson Avenue, Nashville",31.206123600000005,-83.248993,"31.206123600000005,-83.248993",Nashville,Georgia,Berrien County,Rest EZ Title Pawn
135,"Sumner Agency, Inc.",OPERATIONAL,"718 2nd Street West, Tifton",31.457359000000004,-83.521529,"31.457359000000004,-83.521529",Tifton,Georgia,Tift County,"Sumner Agency, Inc."
136,Nationwide Insurance: Coleman Agency Inc.,OPERATIONAL,"210 West 6th Street, Tifton",31.458852,-83.5117891,"31.458852,-83.5117891",Tifton,Georgia,Tift County,Nationwide
