,agency_name,agency_status,agency_address,agency_latitude,agency_longitude
25,Consumer Credit Counseling Services,OPERATIONAL,"2415 North Monroe Street, Tallahassee",30.4723327,-84.29150469999998
26,Aflac Insurance Agent Miriam Watkins,OPERATIONAL,"1105 Apalachee Parkway B, Tallahassee",30.45491509999999,-84.27619240000001
27,Farm Bureau Insurance,OPERATIONAL,"3375 Capital Circle Northeast, Tallahassee",30.499627500000003,-84.2469155
28,SunTrust,OPERATIONAL,"2051 Thomasville Road, Tallahassee",30.4687901,-84.26657209999998
29,AllQuote,OPERATIONAL,"2910 Kerry Forest Parkway, Tallahassee",30.5424261,-84.2248463
30,SunTrust,OPERATIONAL,"104 North Woodward Avenue, Tallahassee",30.444641999999998,-84.2988275
31,Coventry Health Care of FL Inc,OPERATIONAL,"1650 Summit Lake Drive # 100, Tallahassee",30.48450800000001,-84.1524666
32,SunTrust,OPERATIONAL,"6779 Thomasville Road, Tallahassee",30.5642657,-84.2136008
33,First American Title Agency Services,OPERATIONAL,"2082 Summit Lake Drive, Tallahassee",30.485751,-84.14826
34,Tom Paterson: Allstate Insurance,OPERATIONAL,"8511 Bull Headley Road, Tallahassee",30.5877772,-84.25185350000001
35,"Ambition Productions, LLC",OPERATIONAL,"2525 South Monroe Street, Tallahassee",30.4150328,-84.27862019999998
36,SunTrust,OPERATIONAL,"123 South Monroe Street, Tallahassee",30.440996999999996,-84.280463
37,Prudential | Linda Roberts|Life Insurance & Financial Services,OPERATIONAL,"3301 Thomasville Road, Tallahassee",30.49560099999999,-84.2536303
38,Florida Farm Bureau Claims,OPERATIONAL,"1614 Mahan Center Boulevard # 105, Tallahassee",30.457978999999998,-84.23568499999998
39,Fuba Workers Compensation,OPERATIONAL,"116 South Monroe Street, Tallahassee",30.441181,-84.2810609
40,Allstate,OPERATIONAL,"1108 North Broad Street, Cairo",30.8884625,-84.2077908
41,First American Title Insurance Co,OPERATIONAL,"1950 Raymond Diehl Road, Tallahassee",30.500376300000003,-84.2452747
42,Senior Life Insurance Company,OPERATIONAL,"1 Senior Life Lane, Thomasville",30.8171043,-84.00244300000001
43,State Farm Insurance,OPERATIONAL,"431 2nd Avenue Southeast # A, Cairo",30.8755722,-84.20201870000002
44,Custard Insurance Adjusters,OPERATIONAL,"201 Stratford Way, Thomasville",30.7971255,-83.99385790000001
45,Acceptance Insurance,OPERATIONAL,"15020 U.S. 19, Thomasville",30.8540691,-83.9442311
46,Big Oak Benefits Group,OPERATIONAL,"116 East Monroe Street, Thomasville",30.840639000000003,-83.982333
47,Thomas County Farm Bureau: Simmons Eddie,OPERATIONAL,"2376 Georgia 122, Thomasville",30.8541799,-83.93940699999999
48,Skinner's Crop Insurance,OPERATIONAL,"65 23rd Street Northeast, Cairo",30.8750516,-84.18104790000001
49,First Commerce Credit Union,OPERATIONAL,"11395 U.S. 319, Thomasville",30.860860800000008,-83.94529720000001
50,Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.23683079999998
51,Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.835845399999997,-83.28100580000002
52,Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.30726070000001
53,Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.85993169999999,-83.31083690000001
54,Holwell-Fletcher Insurance Agency,OPERATIONAL,"603 East Screven Street, Quitman",30.784445399999996,-83.55492369999997
55,1st Choice Insurance Agency,OPERATIONAL,"1100 East Jackson Street D, Thomasville",30.84785029999999,-83.96423260000002
56,J Keyton Co,OPERATIONAL,"518 North Broad Street, Thomasville",30.8424059,-83.9844679
57,Stephen Gainous - State Farm Insurance Agent,OPERATIONAL,"117 West Jefferson Street, Thomasville",30.837945,-83.98168100000001
58,Forsyth Insurance,OPERATIONAL,"127 East Jackson Street, Thomasville",30.8381023,-83.97951139999998
59,J Smith Lanier & Co,OPERATIONAL,"327 North Broad Street, Thomasville",30.8399493,-83.9828936
60,Taylor Benefit Resource,OPERATIONAL,"164 Commercial Drive, Thomasville",30.8500023,-83.94283349999998
61,Lewis Insurance Inc,OPERATIONAL,"127 East Washington Street, Thomasville",30.84029199999999,-83.980987
62,South Ga Benefits Consultants,OPERATIONAL,"312 North Crawford Street, Thomasville",30.840748699999995,-83.9807196
63,Jamil Robertson - Unified Insurance Agent,OPERATIONAL,"S, 14004 Old Albany Road #104, Thomasville",30.8408354,-83.9429729
64,Elm Insurance & Financial Services,OPERATIONAL,"234 West Jackson Street, Thomasville",30.8370558,-83.9794694
65,Farmers Insurance - Venice Causey,OPERATIONAL,"107 North Crawford Street, Thomasville",30.838647100000003,-83.9794781
66,Aflac: Zachary Parker,OPERATIONAL,"4676 San Saba Drive, Hahira",30.914825300000004,-83.3388816
67,Direct Auto Insurance,OPERATIONAL,"1515 North Ashley Street Suite A, Valdosta",30.84997719999999,-83.2800903
68,Barry Broome: Allstate Insurance,OPERATIONAL,"3310 Bemiss Road, Valdosta",30.8851326,-83.27296609999998
69,Tatum Insurance,OPERATIONAL,"2502 C Jerry Jones Drive STE 2, Valdosta",30.8621337,-83.3089806
70,H & H Insurance Solutions Inc,OPERATIONAL,"3342 Greystone Way, Valdosta",30.882668100000004,-83.29443239999998
71,Turner Insurance Services LLC,OPERATIONAL,"2218 North Patterson Street b, Valdosta",30.8576,-83.2893
72,New York Life,OPERATIONAL,"913 North Patterson Street, Valdosta",30.840515999999997,-83.283587
73,Partners Benefit Group,OPERATIONAL,"1201 Williams Street, Valdosta",30.844675800000005,-83.28195840000001
74,New York Life Insurance Co: Glen Jones,OPERATIONAL,"2218 North Patterson Street, Valdosta",30.8576,-83.2893
75,Taylor Insurance Services,OPERATIONAL,"2000 North Patterson Street, Valdosta",30.8545,-83.289
76,James R Parker - Aflac Insurance Agent,OPERATIONAL,"4712 Radar Site Road, Valdosta",30.973672600000004,-83.2412872
77,New York Life,OPERATIONAL,"112 Webster Street, Valdosta",30.837093499999998,-83.2805194
78,Southern Insurance,OPERATIONAL,"2315 North Ashley Street, Valdosta",30.86193020000001,-83.2829505
79,Client Tell,OPERATIONAL,"3185 Madison Highway, Valdosta",30.7637548,-83.26729189999998
80,Karen Bennett - Aflac Insurance Agent,OPERATIONAL,"2863 Willow Wood Circle, Valdosta",30.86857209999999,-83.29766490000002
81,Intervest International Inc,OPERATIONAL,"3402 Bemiss Road, Valdosta",30.8876,-83.27199999999998
82,Brent Dixon - State Farm Insurance Agent,OPERATIONAL,"119 South Parrish Avenue, Adel",31.1366173,-83.4219944
83,Southside Title Pawn,OPERATIONAL,"414 N, Saint Augustine Road, Valdosta",30.8323349,-83.3114805
84,Nationwide Insurance/David Zavala,OPERATIONAL,"U.S. 441, Demorest",30.9637854,-82.6620441
85,Alliance Insurance,OPERATIONAL,"440 15th Avenue Northwest #5857, Jasper",30.523082399999996,-82.96031099999998
86,Farm Bureau of Lanier County,OPERATIONAL,"716 West Thigpen Avenue, Lakeland",31.0410327,-83.08195889999998
87,Jay Shaw Co,OPERATIONAL,"39 South Valdosta Road, Lakeland",31.0410228,-83.07525150000001
88,Titlemike's,OPERATIONAL,"850 Valdosta Highway, Homerville",31.0342104,-82.7614778
89,Harrell Insurance Agency,OPERATIONAL,"109 Hatley Street West, Jasper",30.518428999999998,-82.94831289999998
90,Grange Insurance,OPERATIONAL,Homerville,31.0367608,-82.74660589999998
91,Tatum Insurance of Jasper,OPERATIONAL,"507 Hatley Street West ste a, Jasper",30.518975,-82.9512589
92,Barlow & Bowen Insurance Center: Barlow Shannon,OPERATIONAL,"2225 Bemiss Road, Valdosta",30.8630988,-83.27978010000002
93,Barlow & Bowen Insurance Center,OPERATIONAL,"952 Saint Augustine Road, Valdosta",30.83656019999999,-83.31729589999998
94,Georgia Farm Bureau,OPERATIONAL,"24 Courtland Avenue, Homerville",31.037263,-82.7469668
95,Farm Bureau Insurance,OPERATIONAL,"1117 North West U.S. Highway 41, Jasper",30.52230660000001,-82.95668479999998
96,Lutz Brown Peagler & Manley,OPERATIONAL,"28 East Dame Avenue, Homerville",31.0366409,-82.74652789999998
97,Rainwater Insurance Inc,OPERATIONAL,"517 North Church Street, Homerville",31.0435386,-82.75088559999998
98,Georgia Farm Bureau Insurance,OPERATIONAL,"202 U.S. 129, Statenville",30.7075031,-83.0273991
99,The Greater Mount Olive Church,OPERATIONAL,Waycross,31.1482724,-82.44190920000001
100,StateFarm insurance Agency,OPERATIONAL,"6064 U.S. 84, Naylor",30.9093225,-83.07593809999999
101,Whitaker Doug,OPERATIONAL,Jasper,30.518376899999996,-82.9483328
102,Hamm Insurance,OPERATIONAL,"59 West Main Street, Lakeland",31.0405765,-83.0760481
103,New You Ministries of Life,OPERATIONAL,"1203 Lewis Street, Waycross",31.19303870000001,-82.36923490000001
104,Farmers Insurance - Daniel Dowling,OPERATIONAL,"2484 Memorial Drive, Waycross",31.1945849,-82.3218213
105,"Jason Conley - COUNTRY Financial in Waycross, GA",OPERATIONAL,"2450 Memorial Drive, Waycross",31.1957053,-82.321861
106,David Hand - State Farm Insurance Agent,OPERATIONAL,"1350 Memorial Drive, Waycross",31.20879069999999,-82.34202739999998
107,Acceptance Insurance,OPERATIONAL,"1107 Knight Avenue, Waycross",31.2087807,-82.3375494
108,Robert Wallace: Allstate Insurance,OPERATIONAL,"707 Knight Avenue, Waycross",31.2099284,-82.34240559999998
109,Stacie Jones - State Farm Insurance Agent,OPERATIONAL,"54 Hatcher Point Road, Waycross",31.20193669999999,-82.32077340000001
110,HH Burnet & Company Inc,OPERATIONAL,"210 Tebeau Street, Waycross",31.2092179,-82.360947
111,BurseCo Financial Services,OPERATIONAL,"875 Tebeau Street, Waycross",31.2164359,-82.36042490000001
112,J. Smith Lanier & Company,OPERATIONAL,"600 Memorial Drive, Waycross",31.211003100000003,-82.35160340000002
113,Nationwide Insurance: Gregory Patrick Hawthorne,OPERATIONAL,"516 Lott Street, Waycross",31.2125995,-82.35856340000001
114,Wilson Insurance,OPERATIONAL,"601 Mary Street, Waycross",31.210298100000003,-82.36120059999998
115,COUNTRY Financial - The Harrell Insurance Agency,OPERATIONAL,"618 Tebeau Street, Waycross",31.213993200000008,-82.3604673
116,Chris Brown - COUNTRY Financial representative,OPERATIONAL,"618 Tebeau Street, Waycross",31.213993200000008,-82.3604673
117,Scott Ray - COUNTRY Financial representative,OPERATIONAL,"2450 Memorial Drive, Waycross",31.195431199999998,-82.32278470000001
118,McNeil & Sports,OPERATIONAL,"2000 U.S. 84, Waycross",31.2228021,-82.342753
119,Brooks Joiner - COUNTRY Financial representative,OPERATIONAL,"1951 Commerce Drive Ste B, Kingsland",30.780628999999998,-81.6293239
120,Georgia Farm Bureau,OPERATIONAL,"180 Mariners Drive, Kingsland",30.7705038,-81.6198841
121,Michael White - COUNTRY Financial representative,OPERATIONAL,"9811 South Main Street, Nahunta",31.202692600000002,-81.9823845
122,Georgia Title,OPERATIONAL,"1204 Hospitality Avenue c, Kingsland",30.7893141,-81.6494852
123,Georgia Farm Bureau Insurance,OPERATIONAL,"1311 Broome Street, Nahunta",31.205231,-81.9795694
124,Georgia Farm Bureau,OPERATIONAL,"239 1st Street, Folkston",30.8276625,-82.006204
125,Maggie Gooch - State Farm Insurance Agent,OPERATIONAL,"1621 Hwy 40 E, Ste A, Kingsland",30.78239989999999,-81.6305225
126,The Shores Agency Inc.,OPERATIONAL,"1615 Sandpiper Court, St. Marys",30.747053,-81.63358000000001
127,Satilla Insurance Group,OPERATIONAL,"553408 U.S. 1, Hilliard",30.7327537,-81.9457801
128,Georgia Farm Bureau,OPERATIONAL,"2160 Brunswick Highway #6509, Waycross",31.2037625,-82.32545119999997
129,Robert W Tison & Associates,OPERATIONAL,"12341 Yellow Bluff Road # 2, Jacksonville",30.45941389999999,-81.57832420000001
130,SunTrust,OPERATIONAL,"700 Gloucester Street Suite 101, Brunswick",31.1492448,-81.4929844
131,SunTrust,OPERATIONAL,"86 Golden Isles Plaza, Brunswick",31.2120037,-81.49124440000001
132,"Morrow Insurance Group, Inc.",OPERATIONAL,"1896 South 14th Street # 5, Fernandina Beach",30.642797100000003,-81.4548958
133,Amelia Insurance,OPERATIONAL,"2384 Sadler Road, Fernandina Beach",30.63881809999999,-81.4403021
134,Amelia Underwriters,OPERATIONAL,"117 Centre Street, Fernandina Beach",30.671471,-81.46400899999998
135,A1A Wealth Management Inc,OPERATIONAL,"1010 Atlantic Avenue, Fernandina Beach",30.670386999999998,-81.4566601
136,8 Flags Insurance Agency,OPERATIONAL,"1411 South 14th Street STE M, Fernandina Beach",30.652004499999997,-81.4547401
137,Financial Strategies of Amelia,OPERATIONAL,"1979, 2338 South 8th Street, Fernandina Beach",30.635130600000004,-81.45907829999999
138,Smith Insurance Agency,OPERATIONAL,"102 Martha Drive #C, St. Marys",30.75686900000001,-81.5687432
139,Primerica,OPERATIONAL,"1905 Point Peter Road #121, St. Marys",30.7686783,-81.5478017
140,SunTrust,OPERATIONAL,"2203 Demere Road, St. Simons Island",31.15957589999999,-81.389696
141,Ameriway Insurance Company,OPERATIONAL,"1963 South 8th Street, Fernandina Beach",30.640278000000002,-81.45891800000001
142,Tatum Insurance Agency of Amelia Island,OPERATIONAL,"5317 South Fletcher Avenue #3, Fernandina Beach",30.5946825,-81.45548869999998
143,Agri Insurance Services,OPERATIONAL,"22 Court Square, Blakely",31.37702939999999,-84.9336417
144,Whittaker Insurance and Realty,OPERATIONAL,"206 South Knox Avenue, Donalsonville",31.041112599999998,-84.8843721
145,Melinda Taylor - State Farm Insurance Agent,OPERATIONAL,"231 South Broad Street Suite 1, Bainbridge",30.90433160000001,-84.5754019
146,Amanda Palmer - State Farm Insurance Agent,OPERATIONAL,"809 South Tennille Avenue, Donalsonville",31.032300300000003,-84.8792459
147,Colquitt Insurance & Realty Services Inc,OPERATIONAL,"167 East Crawford Street, Colquitt",31.1695087,-84.7308615
148,Palmer Insurance Agency,OPERATIONAL,"312 East Shotwell Street, Bainbridge",30.903794399999995,-84.57446619999997
149,Forsyth Insurance,OPERATIONAL,"725 East Shotwell Street, Bainbridge",30.9041255,-84.5695033
150,"Steve Elrod & Associates, Inc.",OPERATIONAL,"623 South West Street, Bainbridge",30.900389299999997,-84.57644090000001
151,Reynolds-Jeffords Insurance Agency,OPERATIONAL,"322 South West Street, Bainbridge",30.903219800000002,-84.5767403
152,Burke Insurance,OPERATIONAL,"210 South Woolfork Avenue, Donalsonville",31.04130400000001,-84.88103939999998
153,G W Insurance,OPERATIONAL,"105 North West Street, Bainbridge",30.905972499999997,-84.57669090000002
154,Lane Crop Insurance,OPERATIONAL,"239 East Grow Street, Colquitt",31.164702899999998,-84.72649240000001
155,State Farm Insurance Agnecy,OPERATIONAL,"220 South Woolfork Avenue, Donalsonville",31.040997100000002,-84.8811181
156,"Second Chance Insurance Agency, LLC.",OPERATIONAL,"1609 E. Shotwell Street, Ste B, Bainbridge",30.90595559999999,-84.5755207
157,"Second Chance Insurance Agency, LLC",OPERATIONAL,"830 East Shotwell Street, Bainbridge",30.903683299999997,-84.56653859999999
158,Lance Wilson - COUNTRY Financial representative,OPERATIONAL,"814 South Scott Street, Bainbridge",30.8984627,-84.56843429999998
159,GW Insurance Agency,OPERATIONAL,"223 South Sims Street, Bainbridge",30.904134600000003,-84.5612084
160,Clenney Insurance Agency,OPERATIONAL,"1712 East Shotwell Street, Bainbridge",30.9034744,-84.5467767
161,Eric Taylor - State Farm Insurance Agent,OPERATIONAL,"35 East Washington Street, Chattahoochee",30.7012843,-84.8343189
162,State Farm,OPERATIONAL,United States,31.032750699999998,-84.87954440000001
163,Farm Agri Insurance,OPERATIONAL,United States,30.957512,-85.1626727
164,Nationwide Insurance: Joseph R Porter,OPERATIONAL,"12 1st Avenue Northeast, Cairo",30.87744440000001,-84.20762789999998
165,Southern Insurance of Cairo,OPERATIONAL,"12 1st Avenue Northeast, Cairo",30.8774214,-84.20758169999998
166,Aaa Insurance: Fraizer Shirley,OPERATIONAL,"171 1st Avenue Northeast #330, Cairo",30.877813899999996,-84.20586829999998
167,Nichole Hilliard - State Farm Insurance Agent,OPERATIONAL,"198 West Railroad Street South, Pelham",31.12470260000001,-84.1518196
168,Adela Ford - COUNTRY Financial representative,OPERATIONAL,"105 West Broad Street, Camilla",31.2313253,-84.21258470000001
169,Nicholas Thomas Clerk's Office,OPERATIONAL,"10 East Jefferson Street, Quincy",30.58790840000001,-84.57654769999998
170,Jeff Rich - COUNTRY Financial representative,OPERATIONAL,"415 East Broughton Street, Bainbridge",30.906016100000002,-84.573458
171,Aflac: Erin Kirkland,OPERATIONAL,"1775 Pine Park Road, Cairo",30.833907300000003,-84.17186219999998
172,New York Life,OPERATIONAL,"127 West Railroad Street South, Pelham",31.126702899999998,-84.15247889999998
173,Horace Mann Insurance Co,OPERATIONAL,"81 East Oakland Avenue, Camilla",31.232556699999996,-84.20589679999998
174,Georgia's Finest Insurance Broker,OPERATIONAL,"229 East Jefferson Street, Thomasville",30.840487,-83.9790739
175,Sharon DeMott - State Farm Insurance Agent,OPERATIONAL,"805 South Main Street, Moultrie",31.171721,-83.78854
176,"Jason Morris Insurance Agency, LLC",OPERATIONAL,"27 2nd Avenue Southeast, Moultrie",31.178091499999997,-83.78808609999999
177,"Kelley Insurance Services of GA., Inc.",OPERATIONAL,"2612 1st Avenue Southeast, Moultrie",31.1728938,-83.7525527
178,Bernie Hall - COUNTRY Financial representative,OPERATIONAL,"2024 East Pinetree Boulevard Ste A, Thomasville",30.844951199999997,-83.94684699999998
179,Georgia Farm Bureau,OPERATIONAL,"4645 Georgia 3, Camilla",31.2039197,-84.173541
180,First Commerce Credit Union,OPERATIONAL,"101 North Hutchinson Avenue, Adel",31.1372566,-83.42361939999998
181,Adel Insurance Inc,OPERATIONAL,"124 South Hutchinson Avenue, Adel",31.136333399999998,-83.4232822
182,Fountain Financial Services,OPERATIONAL,"15 5th Street Southeast A, Moultrie",31.179544500000002,-83.7826874
183,Parker Keith,OPERATIONAL,"501 South Main Street, Moultrie",31.1745547,-83.78849740000001
184,David Whittington - COUNTRY Financial representative,OPERATIONAL,"280 West Bypass, Moultrie",31.183417,-83.806561
185,Kelly Barr - State Farm Insurance Agent,OPERATIONAL,"104 South Church Street, Hahira",30.99129820000001,-83.37275269999998
186,Bailey Dan,OPERATIONAL,"330 North Broad Street # D1, Thomasville",30.840259200000002,-83.982404
187,Glenn Sturgis - Aflac Insurance Agent,OPERATIONAL,"3594 Guest Road, Valdosta",30.9134532,-83.237573
188,Barlow & Bowen Insurance Center: Barlow Dennis,OPERATIONAL,"2225 Bemiss Road, Valdosta",30.8630988,-83.27978010000002
189,H & H Insurance Solutions Inc: Hughes Kay H,OPERATIONAL,"3342 Greystone Way, Valdosta",30.8826407,-83.294465
190,Benefits Solutions,OPERATIONAL,"115 West Brookwood Drive, Valdosta",30.844988800000003,-83.28778740000001
191,Tanner Insurance Agency Inc,OPERATIONAL,"407 North Main Street, Pearson",31.3037238,-82.8514326
192,Securitas Financial Services,OPERATIONAL,"301 East Marion Avenue, Nashville",31.2068918,-83.24830920000001
193,Rest EZ Title Pawn,OPERATIONAL,"208 East Mcpherson Avenue, Nashville",31.206123600000005,-83.248993
194,The Turner-Stone Agency,OPERATIONAL,"108 South Jefferson Street, Nashville",31.20679569999999,-83.2491589
195,Guardian Life Insurance Co-America,OPERATIONAL,"3432 Bemiss Road, Valdosta",30.8880402,-83.2720926
196,Houston & Co,OPERATIONAL,"307 Dogwood Drive, Nashville",31.205213300000004,-83.25512540000001
197,"Denton & Tanner Insurance Agency, Inc.",OPERATIONAL,"1353 Albany Avenue, Waycross",31.218944,-82.37196399999998
198,McNeal-Sports & Co. Insurance Agency,OPERATIONAL,"2000 Plant Avenue, Waycross",31.2227978,-82.34272890000001
199,BB&T Insurance Services,OPERATIONAL,Waycross,31.2154234,-82.3594715
200,Direct Auto Insurance of Waycross,OPERATIONAL,"701 Riverside Avenue, Waycross",31.22512589999999,-82.3544301
201,David Osburn Insurance Agency,OPERATIONAL,"2890 Osburn Road, Waycross",31.190174100000004,-82.31312799999998
202,"Jack P. Saussy, AAI CPIA - AFLAC",OPERATIONAL,"1473 North River Oaks Drive, Blackshear",31.265931899999995,-82.3444224
203,Woodmen of the World Lodge,OPERATIONAL,"2069 Golf Course Road, Blackshear",31.248297100000002,-82.32562359999999
204,Blackshear GA/Waycross GA,OPERATIONAL,"2000 Plant Avenue, Waycross",31.2227978,-82.34272890000001
205,C Bennett & Johnson Insurance,OPERATIONAL,"3349 U.S. 84 #100, Blackshear",31.299371,-82.24804
206,Georgia Farm Bureau,OPERATIONAL,"729 Hendry Street #1019, Blackshear",31.3125719,-82.25017749999998
207,Donnie Strickland - State Farm Insurance Agent,OPERATIONAL,"222 Screven Avenue, Waycross",31.21524729999999,-82.3505584
208,Shell Insurance and Retirement Group,OPERATIONAL,"411 Mary Street, Waycross",31.210231099999998,-82.35945939999998
209,Health Care Marketing Inc,OPERATIONAL,"103 Overlook Point, Brunswick",31.241483000000002,-81.579776
210,Mitch Coleman - COUNTRY Financial representative,OPERATIONAL,"2007 Norwich Street, Brunswick",31.157046500000003,-81.49426030000002
211,Boyett Insurance Agency,OPERATIONAL,"16 Coral Drive, Brunswick",31.123125899999994,-81.61097840000001
212,Horace Mann Insurance Co,OPERATIONAL,"1503 Newcastle Street, Brunswick",31.149246999999995,-81.495561
213,Edward Hardman Farmers Insurance Agent,OPERATIONAL,"4757 New Jesup Highway, Brunswick",31.2113976,-81.51391070000001
214,Auto Insurance Services Inc,OPERATIONAL,"1801 Norwich Street, Brunswick",31.15408609999999,-81.4934377
215,Turner & Associates,OPERATIONAL,"1 Saint Andrews Court, Brunswick",31.14984500000001,-81.49857999999998
216,Galis/Stewart Insurance,OPERATIONAL,"1401 Union Street, Brunswick",31.148346500000002,-81.4931546
217,"McNeal, Sports & Company Insurance",OPERATIONAL,"240 Main Street, Blackshear",31.3042216,-82.24061400000001
218,Butch Paxton - State Farm Insurance Agent,OPERATIONAL,"3136 Cypress Mill Road, Brunswick",31.1921098,-81.47090920000001
219,New York Life,OPERATIONAL,"400 Main Street #4, St. Simons Island",31.1660315,-81.3991522
220,Simms Investment Services LLC,OPERATIONAL,"1104 Fountain Lake Drive, Brunswick",31.1880159,-81.4703696
221,SunTrust,OPERATIONAL,"501 Sea Island Road, St. Simons Island",31.18438579999999,-81.37637480000001
222,Richardson's School-Insurance,OPERATIONAL,"3323 Glynn Avenue # D, Brunswick",31.1817605,-81.47196600000001
223,John Murray & Co Accountants,OPERATIONAL,"123 Glyndale Drive #113, Brunswick",31.2191201,-81.5163493
224,Ally Insurors,OPERATIONAL,"426 Eh Court, Brunswick",31.197430800000003,-81.48725870000001
225,Douglas Phelps - State Farm Insurance Agent,OPERATIONAL,"104 Trade Street e, Brunswick",31.22059999999999,-81.4906598
226,Lighthouse Benefit Resources,OPERATIONAL,"225 Marina Drive, St. Simons Island",31.1682779,-81.4157443
227,Complete Insurance LLC,OPERATIONAL,"2323 West Main Street #104, Dothan",31.2279,-85.42303670000001
228,Alfa Insurance,OPERATIONAL,"213 North Broadway Street, Ashford",31.181796399999996,-85.23700670000001
229,Alfa Insurance,OPERATIONAL,"103 Blissett Drive STE 1, Dothan",31.1920596,-85.38135299999998
230,Allstate Insurance: Don Harrison,OPERATIONAL,"1560 Hartford Highway, Dothan",31.212083000000003,-85.417953
231,Clenney Insurance of Blakely,OPERATIONAL,"8 Liberty Street, Blakely",31.376204600000005,-84.93606210000002
232,Michelle Kleckley - State Farm Insurance Agent,OPERATIONAL,"12799 Magnolia Street, Blakely",31.377755800000003,-84.93014769999998
233,Salter Insurance Agency,OPERATIONAL,"406 3rd Avenue, Ashford",31.184338,-85.2371464
234,Pam Martin - State Farm Insurance Agent,OPERATIONAL,"1600 Whatley Drive Ste 1, Dothan",31.243782799999998,-85.45694300000001
235,Alfa Insurance,OPERATIONAL,"800 Cleveland Street, Headland",31.33612739999999,-85.3363708
236,Acceptance Insurance,OPERATIONAL,"416 North Oates Street #2, Dothan",31.2280712,-85.39371600000003
237,Germaine Johnson: Allstate Insurance,OPERATIONAL,"1034 Ross Clark Circle Ste 3, Dothan",31.220041,-85.361499
238,Wint Smith - State Farm Insurance Agent,OPERATIONAL,"2191 East Main Street #2, Dothan",31.21435,-85.35869799999998
239,Garner Insurance Agency,OPERATIONAL,"3927 Montgomery Highway, Dothan",31.25986720000001,-85.4373478
240,Whiddon Insurance,OPERATIONAL,"120 Telford Place, Dothan",31.232534,-85.493043
241,Conner Agency,OPERATIONAL,"17415 Highland Avenue South, Arlington",31.4369561,-84.72484920000001
242,Georgia Farm Bureau,OPERATIONAL,"118 School Street Northeast, Morgan",31.537834999999998,-84.59898740000001
