,agency_name,agency_status,agency_address,agency_latitude,agency_longitude
61,Consumer Credit Counseling Services,OPERATIONAL,"2415 North Monroe Street, Tallahassee",30.4723327,-84.29150469999999
62,Aflac Insurance Agent Miriam Watkins,OPERATIONAL,"1105 Apalachee Parkway B, Tallahassee",30.45491509999999,-84.2761924
63,Farm Bureau Insurance,OPERATIONAL,"3375 Capital Circle Northeast, Tallahassee",30.4996275,-84.2469155
64,SunTrust,OPERATIONAL,"2051 Thomasville Road, Tallahassee",30.4687901,-84.26657209999999
65,AllQuote,OPERATIONAL,"2910 Kerry Forest Parkway, Tallahassee",30.5424261,-84.2248463
66,SunTrust,OPERATIONAL,"104 North Woodward Avenue, Tallahassee",30.444642,-84.2988275
67,Coventry Health Care of FL Inc,OPERATIONAL,"1650 Summit Lake Drive # 100, Tallahassee",30.48450800000001,-84.1524666
68,SunTrust,OPERATIONAL,"6779 Thomasville Road, Tallahassee",30.5642657,-84.2136008
69,First American Title Agency Services,OPERATIONAL,"2082 Summit Lake Drive, Tallahassee",30.485751,-84.14826
70,Tom Paterson: Allstate Insurance,OPERATIONAL,"8511 Bull Headley Road, Tallahassee",30.5877772,-84.2518535
71,"Ambition Productions, LLC",OPERATIONAL,"2525 South Monroe Street, Tallahassee",30.4150328,-84.27862019999999
72,SunTrust,OPERATIONAL,"123 South Monroe Street, Tallahassee",30.440997,-84.280463
73,Prudential | Linda Roberts|Life Insurance & Financial Services,OPERATIONAL,"3301 Thomasville Road, Tallahassee",30.49560099999999,-84.2536303
74,Florida Farm Bureau Claims,OPERATIONAL,"1614 Mahan Center Boulevard # 105, Tallahassee",30.457979,-84.23568499999999
75,Fuba Workers Compensation,OPERATIONAL,"116 South Monroe Street, Tallahassee",30.441181,-84.2810609
76,Allstate,OPERATIONAL,"1108 North Broad Street, Cairo",30.8884625,-84.2077908
95,First American Title Insurance Co,OPERATIONAL,"1950 Raymond Diehl Road, Tallahassee",30.5003763,-84.2452747
114,Tara J Smith: Allstate Insurance,OPERATIONAL,"2915 Unit 603, Kerry Forest Parkway, Tallahassee",30.540195,-84.2263119
115,Vicki Catsimpiris - State Farm Insurance Agent,OPERATIONAL,"3360 Capital Circle Northeast Ste B, Tallahassee",30.4979616,-84.2472653
116,Florida Healthy Kids + Florida KidCare,OPERATIONAL,"1203 Governors Square Boulevard #400, Tallahassee",30.4394516,-84.2638472
117,Aflac Insurance Agent Miriam Watkins,OPERATIONAL,"1105 Apalachee Parkway B, Tallahassee",30.45491509999999,-84.2761924
118,Consumer Credit Counseling Services,OPERATIONAL,"2415 North Monroe Street, Tallahassee",30.4723327,-84.29150469999999
119,Aflac,OPERATIONAL,"1344 Vickers Road, Tallahassee",30.48706250000001,-84.31216359999999
120,Farm Bureau Insurance,OPERATIONAL,"3375 Capital Circle Northeast, Tallahassee",30.4996275,-84.2469155
121,Coventry Health Care of FL Inc,OPERATIONAL,"1650 Summit Lake Drive # 100, Tallahassee",30.48450800000001,-84.1524666
122,First American Title Agency Services,OPERATIONAL,"2082 Summit Lake Drive, Tallahassee",30.485751,-84.14826
123,SunTrust,OPERATIONAL,"2051 Thomasville Road, Tallahassee",30.4687901,-84.26657209999999
124,AllQuote,OPERATIONAL,"2910 Kerry Forest Parkway, Tallahassee",30.5424261,-84.2248463
125,SunTrust,OPERATIONAL,"104 North Woodward Avenue, Tallahassee",30.444642,-84.2988275
126,SunTrust,OPERATIONAL,"6779 Thomasville Road, Tallahassee",30.5642657,-84.2136008
127,Tom Paterson: Allstate Insurance,OPERATIONAL,"8511 Bull Headley Road, Tallahassee",30.5877772,-84.2518535
128,"Ambition Productions, LLC",OPERATIONAL,"2525 South Monroe Street, Tallahassee",30.4150328,-84.27862019999999
129,Senior Life Insurance Company,OPERATIONAL,"1 Senior Life Lane, Thomasville",30.8171043,-84.00244300000001
130,SunTrust,OPERATIONAL,"123 South Monroe Street, Tallahassee",30.440997,-84.280463
131,Prudential | Linda Roberts|Life Insurance & Financial Services,OPERATIONAL,"3301 Thomasville Road, Tallahassee",30.49560099999999,-84.2536303
132,Florida Farm Bureau Claims,OPERATIONAL,"1614 Mahan Center Boulevard # 105, Tallahassee",30.457979,-84.23568499999999
133,State Farm Insurance,OPERATIONAL,"431 2nd Avenue Southeast # A, Cairo",30.8755722,-84.20201870000001
152,Custard Insurance Adjusters,OPERATIONAL,"201 Stratford Way, Thomasville",30.7971255,-83.9938579
171,Tara J Smith: Allstate Insurance,OPERATIONAL,"2915 Unit 603, Kerry Forest Parkway, Tallahassee",30.540195,-84.2263119
172,Vicki Catsimpiris - State Farm Insurance Agent,OPERATIONAL,"3360 Capital Circle Northeast Ste B, Tallahassee",30.4979616,-84.2472653
173,Coventry Health Care of FL Inc,OPERATIONAL,"1650 Summit Lake Drive # 100, Tallahassee",30.48450800000001,-84.1524666
174,First American Title Agency Services,OPERATIONAL,"2082 Summit Lake Drive, Tallahassee",30.485751,-84.14826
175,AllQuote,OPERATIONAL,"2910 Kerry Forest Parkway, Tallahassee",30.5424261,-84.2248463
176,Farm Bureau Insurance,OPERATIONAL,"3375 Capital Circle Northeast, Tallahassee",30.4996275,-84.2469155
177,SunTrust,OPERATIONAL,"6779 Thomasville Road, Tallahassee",30.5642657,-84.2136008
178,Tom Paterson: Allstate Insurance,OPERATIONAL,"8511 Bull Headley Road, Tallahassee",30.5877772,-84.2518535
179,Senior Life Insurance Company,OPERATIONAL,"1 Senior Life Lane, Thomasville",30.8171043,-84.00244300000001
180,Consumer Credit Counseling Services,OPERATIONAL,"2415 North Monroe Street, Tallahassee",30.4723327,-84.29150469999999
181,SunTrust,OPERATIONAL,"2051 Thomasville Road, Tallahassee",30.4687901,-84.26657209999999
182,Aflac Insurance Agent Miriam Watkins,OPERATIONAL,"1105 Apalachee Parkway B, Tallahassee",30.45491509999999,-84.2761924
183,Florida Healthy Kids + Florida KidCare,OPERATIONAL,"1203 Governors Square Boulevard #400, Tallahassee",30.4394516,-84.2638472
184,Aflac,OPERATIONAL,"1344 Vickers Road, Tallahassee",30.48706250000001,-84.31216359999999
185,Acceptance Insurance,OPERATIONAL,"15020 U.S. 19, Thomasville",30.8540691,-83.9442311
186,Prudential | Linda Roberts|Life Insurance & Financial Services,OPERATIONAL,"3301 Thomasville Road, Tallahassee",30.49560099999999,-84.2536303
187,Florida Farm Bureau Claims,OPERATIONAL,"1614 Mahan Center Boulevard # 105, Tallahassee",30.457979,-84.23568499999999
188,Big Oak Benefits Group,OPERATIONAL,"116 East Monroe Street, Thomasville",30.840639,-83.982333
189,Thomas County Farm Bureau: Simmons Eddie,OPERATIONAL,"2376 Georgia 122, Thomasville",30.8541799,-83.939407
190,Skinner's Crop Insurance,OPERATIONAL,"65 23rd Street Northeast, Cairo",30.8750516,-84.1810479
209,First Commerce Credit Union,OPERATIONAL,"11395 U.S. 319, Thomasville",30.86086080000001,-83.9452972
228,Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.23683079999999
229,Senior Life Insurance Company,OPERATIONAL,"1 Senior Life Lane, Thomasville",30.8171043,-84.00244300000001
230,Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.8358454,-83.28100580000002
231,Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.3072607
232,Acceptance Insurance,OPERATIONAL,"15020 U.S. 19, Thomasville",30.8540691,-83.9442311
233,Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.85993169999999,-83.3108369
234,Thomas County Farm Bureau: Simmons Eddie,OPERATIONAL,"2376 Georgia 122, Thomasville",30.8541799,-83.939407
235,Holwell-Fletcher Insurance Agency,OPERATIONAL,"603 East Screven Street, Quitman",30.7844454,-83.55492369999999
236,Big Oak Benefits Group,OPERATIONAL,"116 East Monroe Street, Thomasville",30.840639,-83.982333
237,1st Choice Insurance Agency,OPERATIONAL,"1100 East Jackson Street D, Thomasville",30.84785029999999,-83.96423260000002
238,J Keyton Co,OPERATIONAL,"518 North Broad Street, Thomasville",30.8424059,-83.9844679
239,Stephen Gainous - State Farm Insurance Agent,OPERATIONAL,"117 West Jefferson Street, Thomasville",30.837945,-83.981681
240,Forsyth Insurance,OPERATIONAL,"127 East Jackson Street, Thomasville",30.8381023,-83.97951139999999
241,J Smith Lanier & Co,OPERATIONAL,"327 North Broad Street, Thomasville",30.8399493,-83.9828936
242,Taylor Benefit Resource,OPERATIONAL,"164 Commercial Drive, Thomasville",30.8500023,-83.94283349999999
243,Lewis Insurance Inc,OPERATIONAL,"127 East Washington Street, Thomasville",30.84029199999999,-83.980987
244,South Ga Benefits Consultants,OPERATIONAL,"312 North Crawford Street, Thomasville",30.8407487,-83.9807196
245,Jamil Robertson - Unified Insurance Agent,OPERATIONAL,"S, 14004 Old Albany Road #104, Thomasville",30.8408354,-83.9429729
246,Elm Insurance & Financial Services,OPERATIONAL,"234 West Jackson Street, Thomasville",30.8370558,-83.9794694
247,Farmers Insurance - Venice Causey,OPERATIONAL,"107 North Crawford Street, Thomasville",30.8386471,-83.9794781
266,Aflac: Zachary Parker,OPERATIONAL,"4676 San Saba Drive, Hahira",30.9148253,-83.3388816
285,Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.23683079999999
286,Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.8358454,-83.28100580000002
287,Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.3072607
288,Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.85993169999999,-83.3108369
289,Direct Auto Insurance,OPERATIONAL,"1515 North Ashley Street Suite A, Valdosta",30.84997719999999,-83.2800903
290,Barry Broome: Allstate Insurance,OPERATIONAL,"3310 Bemiss Road, Valdosta",30.8851326,-83.27296609999999
291,Tatum Insurance,OPERATIONAL,"2502 C Jerry Jones Drive STE 2, Valdosta",30.8621337,-83.3089806
292,H & H Insurance Solutions Inc,OPERATIONAL,"3342 Greystone Way, Valdosta",30.8826681,-83.29443239999999
293,Turner Insurance Services LLC,OPERATIONAL,"2218 North Patterson Street b, Valdosta",30.8576,-83.2893
294,Holwell-Fletcher Insurance Agency,OPERATIONAL,"603 East Screven Street, Quitman",30.7844454,-83.55492369999999
295,New York Life,OPERATIONAL,"913 North Patterson Street, Valdosta",30.840516,-83.283587
296,Partners Benefit Group,OPERATIONAL,"1201 Williams Street, Valdosta",30.8446758,-83.2819584
297,New York Life Insurance Co: Glen Jones,OPERATIONAL,"2218 North Patterson Street, Valdosta",30.8576,-83.2893
298,Taylor Insurance Services,OPERATIONAL,"2000 North Patterson Street, Valdosta",30.8545,-83.289
299,James R Parker - Aflac Insurance Agent,OPERATIONAL,"4712 Radar Site Road, Valdosta",30.9736726,-83.2412872
300,New York Life,OPERATIONAL,"112 Webster Street, Valdosta",30.8370935,-83.2805194
301,Southern Insurance,OPERATIONAL,"2315 North Ashley Street, Valdosta",30.86193020000001,-83.2829505
302,Client Tell,OPERATIONAL,"3185 Madison Highway, Valdosta",30.7637548,-83.26729189999999
303,Karen Bennett - Aflac Insurance Agent,OPERATIONAL,"2863 Willow Wood Circle, Valdosta",30.86857209999999,-83.2976649
304,Intervest International Inc,OPERATIONAL,"3402 Bemiss Road, Valdosta",30.8876,-83.27199999999999
323,Brent Dixon - State Farm Insurance Agent,OPERATIONAL,"119 South Parrish Avenue, Adel",31.1366173,-83.4219944
342,Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.23683079999999
343,Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.8358454,-83.28100580000002
344,Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.3072607
345,Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.85993169999999,-83.3108369
346,Direct Auto Insurance,OPERATIONAL,"1515 North Ashley Street Suite A, Valdosta",30.84997719999999,-83.2800903
347,Barry Broome: Allstate Insurance,OPERATIONAL,"3310 Bemiss Road, Valdosta",30.8851326,-83.27296609999999
348,H & H Insurance Solutions Inc,OPERATIONAL,"3342 Greystone Way, Valdosta",30.8826681,-83.29443239999999
349,Tatum Insurance,OPERATIONAL,"2502 C Jerry Jones Drive STE 2, Valdosta",30.8621337,-83.3089806
350,Turner Insurance Services LLC,OPERATIONAL,"2218 North Patterson Street b, Valdosta",30.8576,-83.2893
351,New York Life,OPERATIONAL,"913 North Patterson Street, Valdosta",30.840516,-83.283587
352,Partners Benefit Group,OPERATIONAL,"1201 Williams Street, Valdosta",30.8446758,-83.2819584
353,New York Life Insurance Co: Glen Jones,OPERATIONAL,"2218 North Patterson Street, Valdosta",30.8576,-83.2893
354,James R Parker - Aflac Insurance Agent,OPERATIONAL,"4712 Radar Site Road, Valdosta",30.9736726,-83.2412872
355,Taylor Insurance Services,OPERATIONAL,"2000 North Patterson Street, Valdosta",30.8545,-83.289
356,New York Life,OPERATIONAL,"112 Webster Street, Valdosta",30.8370935,-83.2805194
357,Southern Insurance,OPERATIONAL,"2315 North Ashley Street, Valdosta",30.86193020000001,-83.2829505
358,Client Tell,OPERATIONAL,"3185 Madison Highway, Valdosta",30.7637548,-83.26729189999999
359,Karen Bennett - Aflac Insurance Agent,OPERATIONAL,"2863 Willow Wood Circle, Valdosta",30.86857209999999,-83.2976649
360,Southside Title Pawn,OPERATIONAL,"414 N, Saint Augustine Road, Valdosta",30.8323349,-83.3114805
361,Intervest International Inc,OPERATIONAL,"3402 Bemiss Road, Valdosta",30.8876,-83.27199999999999
380,Holwell-Fletcher Insurance Agency,OPERATIONAL,"603 East Screven Street, Quitman",30.7844454,-83.55492369999999
399,Nationwide Insurance/David Zavala,OPERATIONAL,"U.S. 441, Demorest",30.9637854,-82.6620441
400,Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.23683079999999
401,Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.8358454,-83.28100580000002
402,Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.3072607
403,Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.85993169999999,-83.3108369
404,Alliance Insurance,OPERATIONAL,"440 15th Avenue Northwest #5857, Jasper",30.5230824,-82.96031099999999
405,Farm Bureau of Lanier County,OPERATIONAL,"716 West Thigpen Avenue, Lakeland",31.0410327,-83.08195889999999
406,Jay Shaw Co,OPERATIONAL,"39 South Valdosta Road, Lakeland",31.0410228,-83.0752515
407,Direct Auto Insurance,OPERATIONAL,"1515 North Ashley Street Suite A, Valdosta",30.84997719999999,-83.2800903
408,Barry Broome: Allstate Insurance,OPERATIONAL,"3310 Bemiss Road, Valdosta",30.8851326,-83.27296609999999
409,Titlemike's,OPERATIONAL,"850 Valdosta Highway, Homerville",31.0342104,-82.7614778
410,Harrell Insurance Agency,OPERATIONAL,"109 Hatley Street West, Jasper",30.518429,-82.94831289999999
411,Grange Insurance,OPERATIONAL,Homerville,31.0367608,-82.74660589999999
412,New York Life,OPERATIONAL,"913 North Patterson Street, Valdosta",30.840516,-83.283587
413,Client Tell,OPERATIONAL,"3185 Madison Highway, Valdosta",30.7637548,-83.26729189999999
414,Partners Benefit Group,OPERATIONAL,"1201 Williams Street, Valdosta",30.8446758,-83.2819584
415,Turner Insurance Services LLC,OPERATIONAL,"2218 North Patterson Street b, Valdosta",30.8576,-83.2893
416,New York Life,OPERATIONAL,"112 Webster Street, Valdosta",30.8370935,-83.2805194
417,Tatum Insurance of Jasper,OPERATIONAL,"507 Hatley Street West ste a, Jasper",30.518975,-82.9512589
418,Barlow & Bowen Insurance Center: Barlow Shannon,OPERATIONAL,"2225 Bemiss Road, Valdosta",30.8630988,-83.27978010000001
437,Barlow & Bowen Insurance Center,OPERATIONAL,"952 Saint Augustine Road, Valdosta",30.83656019999999,-83.31729589999999
456,Nationwide Insurance/David Zavala,OPERATIONAL,"U.S. 441, Demorest",30.9637854,-82.6620441
457,Grange Insurance,OPERATIONAL,Homerville,31.0367608,-82.74660589999999
458,Titlemike's,OPERATIONAL,"850 Valdosta Highway, Homerville",31.0342104,-82.7614778
459,Alliance Insurance,OPERATIONAL,"440 15th Avenue Northwest #5857, Jasper",30.5230824,-82.96031099999999
460,Harrell Insurance Agency,OPERATIONAL,"109 Hatley Street West, Jasper",30.518429,-82.94831289999999
461,Tatum Insurance of Jasper,OPERATIONAL,"507 Hatley Street West ste a, Jasper",30.518975,-82.9512589
462,Georgia Farm Bureau,OPERATIONAL,"24 Courtland Avenue, Homerville",31.037263,-82.7469668
463,Jay Shaw Co,OPERATIONAL,"39 South Valdosta Road, Lakeland",31.0410228,-83.0752515
464,Farm Bureau of Lanier County,OPERATIONAL,"716 West Thigpen Avenue, Lakeland",31.0410327,-83.08195889999999
465,Farm Bureau Insurance,OPERATIONAL,"1117 North West U.S. Highway 41, Jasper",30.52230660000001,-82.95668479999999
466,Lutz Brown Peagler & Manley,OPERATIONAL,"28 East Dame Avenue, Homerville",31.0366409,-82.74652789999999
467,Rainwater Insurance Inc,OPERATIONAL,"517 North Church Street, Homerville",31.0435386,-82.75088559999999
468,Georgia Farm Bureau Insurance,OPERATIONAL,"202 U.S. 129, Statenville",30.7075031,-83.0273991
469,The Greater Mount Olive Church,OPERATIONAL,Waycross,31.1482724,-82.4419092
470,StateFarm insurance Agency,OPERATIONAL,"6064 U.S. 84, Naylor",30.9093225,-83.0759381
471,Whitaker Doug,OPERATIONAL,Jasper,30.5183769,-82.9483328
472,Hamm Insurance,OPERATIONAL,"59 West Main Street, Lakeland",31.0405765,-83.0760481
473,New You Ministries of Life,OPERATIONAL,"1203 Lewis Street, Waycross",31.19303870000001,-82.3692349
474,Nationwide Insurance/David Zavala,OPERATIONAL,"U.S. 441, Demorest",30.9637854,-82.6620441
475,Brian Huling - State Farm Insurance Agent,OPERATIONAL,"4197 2nd Street North, Folkston",30.8324109,-82.00658729999999
476,Axiom Insurance Agency,OPERATIONAL,"212 West Main Street, Folkston",30.8311276,-82.00891299999999
477,Tri-City Insurance,OPERATIONAL,"4275 2nd Street North, Folkston",30.833499,-82.0068854
478,Farmers Insurance - Daniel Dowling,OPERATIONAL,"2484 Memorial Drive, Waycross",31.1945849,-82.3218213
479,"Jason Conley - COUNTRY Financial in Waycross, GA",OPERATIONAL,"2450 Memorial Drive, Waycross",31.1957053,-82.321861
480,David Hand - State Farm Insurance Agent,OPERATIONAL,"1350 Memorial Drive, Waycross",31.20879069999999,-82.34202739999999
481,Acceptance Insurance,OPERATIONAL,"1107 Knight Avenue, Waycross",31.2087807,-82.3375494
482,Grange Insurance,OPERATIONAL,Homerville,31.0367608,-82.74660589999999
483,Robert Wallace: Allstate Insurance,OPERATIONAL,"707 Knight Avenue, Waycross",31.2099284,-82.34240559999999
484,Stacie Jones - State Farm Insurance Agent,OPERATIONAL,"54 Hatcher Point Road, Waycross",31.20193669999999,-82.3207734
485,HH Burnet & Company Inc,OPERATIONAL,"210 Tebeau Street, Waycross",31.2092179,-82.360947
486,BurseCo Financial Services,OPERATIONAL,"875 Tebeau Street, Waycross",31.2164359,-82.3604249
487,J. Smith Lanier & Company,OPERATIONAL,"600 Memorial Drive, Waycross",31.2110031,-82.3516034
488,Nationwide Insurance: Gregory Patrick Hawthorne,OPERATIONAL,"516 Lott Street, Waycross",31.2125995,-82.3585634
489,Wilson Insurance,OPERATIONAL,"601 Mary Street, Waycross",31.2102981,-82.36120059999999
490,COUNTRY Financial - The Harrell Insurance Agency,OPERATIONAL,"618 Tebeau Street, Waycross",31.21399320000001,-82.3604673
491,Titlemike's,OPERATIONAL,"850 Valdosta Highway, Homerville",31.0342104,-82.7614778
492,Chris Brown - COUNTRY Financial representative,OPERATIONAL,"618 Tebeau Street, Waycross",31.21399320000001,-82.3604673
493,Scott Ray - COUNTRY Financial representative,OPERATIONAL,"2450 Memorial Drive, Waycross",31.1954312,-82.32278470000001
512,McNeil & Sports,OPERATIONAL,"2000 U.S. 84, Waycross",31.2228021,-82.342753
527,Brooks Joiner - COUNTRY Financial representative,OPERATIONAL,"1951 Commerce Drive Ste B, Kingsland",30.780629,-81.6293239
528,Brian Huling - State Farm Insurance Agent,OPERATIONAL,"4197 2nd Street North, Folkston",30.8324109,-82.00658729999999
529,Axiom Insurance Agency,OPERATIONAL,"212 West Main Street, Folkston",30.8311276,-82.00891299999999
530,Tri-City Insurance,OPERATIONAL,"4275 2nd Street North, Folkston",30.833499,-82.0068854
531,Georgia Farm Bureau,OPERATIONAL,"180 Mariners Drive, Kingsland",30.7705038,-81.6198841
532,Gary Anderson - State Farm Insurance Agent,OPERATIONAL,"450111 State Road 200, Callahan",30.56891599999999,-81.8259006
533,Rochester Debra,OPERATIONAL,"542560 U.S. 1, Callahan",30.568502,-81.834397
534,Modern Woodmen of America,OPERATIONAL,"121 North Lee Street suite c, Kingsland",30.8004892,-81.6901101
535,Schwend Earl,OPERATIONAL,"542432 US Highway 1, Callahan",30.5071022,-81.878795
536,Horace Mann Insurance Co,OPERATIONAL,"103 Sago Palm Drive, Kingsland",30.800448,-81.651406
537,Michael White - COUNTRY Financial representative,OPERATIONAL,"9811 South Main Street, Nahunta",31.2026926,-81.9823845
538,Georgia Title,OPERATIONAL,"1204 Hospitality Avenue c, Kingsland",30.7893141,-81.6494852
539,Georgia Farm Bureau Insurance,OPERATIONAL,"1311 Broome Street, Nahunta",31.205231,-81.9795694
540,Insurance Auto Auctions,OPERATIONAL,"14492 New Kings Road, Jacksonville",30.49637439999999,-81.7892703
541,Georgia Farm Bureau,OPERATIONAL,"239 1st Street, Folkston",30.8276625,-82.006204
542,Farmers Insurance - Daniel Dowling,OPERATIONAL,"2484 Memorial Drive, Waycross",31.1945849,-82.3218213
543,Maggie Gooch - State Farm Insurance Agent,OPERATIONAL,"1621 Hwy 40 E, Ste A, Kingsland",30.78239989999999,-81.6305225
544,"Jason Conley - COUNTRY Financial in Waycross, GA",OPERATIONAL,"2450 Memorial Drive, Waycross",31.1957053,-82.321861
545,The Shores Agency Inc.,OPERATIONAL,"1615 Sandpiper Court, St. Marys",30.747053,-81.63358
546,Satilla Insurance Group,OPERATIONAL,"553408 U.S. 1, Hilliard",30.7327537,-81.9457801
565,Georgia Farm Bureau,OPERATIONAL,"2160 Brunswick Highway #6509, Waycross",31.2037625,-82.32545119999999
584,Brooks Joiner - COUNTRY Financial representative,OPERATIONAL,"1951 Commerce Drive Ste B, Kingsland",30.780629,-81.6293239
585,Phenix Supply Co,OPERATIONAL,"11705 Industry Drive, Jacksonville",30.449305,-81.62589400000002
586,Acceptance Insurance,OPERATIONAL,"3000 Dunn Avenue Suite 68A, Jacksonville",30.43761869999999,-81.7005653
587,Georgia Farm Bureau,OPERATIONAL,"180 Mariners Drive, Kingsland",30.7705038,-81.6198841
588,Robert W Tison & Associates,OPERATIONAL,"12341 Yellow Bluff Road # 2, Jacksonville",30.45941389999999,-81.5783242
589,SunTrust,OPERATIONAL,"700 Gloucester Street Suite 101, Brunswick",31.1492448,-81.4929844
590,SunTrust,OPERATIONAL,"86 Golden Isles Plaza, Brunswick",31.2120037,-81.49124440000001
591,Insurance Auto Auctions,OPERATIONAL,"14492 New Kings Road, Jacksonville",30.49637439999999,-81.7892703
592,"Morrow Insurance Group, Inc.",OPERATIONAL,"1896 South 14th Street # 5, Fernandina Beach",30.6427971,-81.4548958
593,Amelia Insurance,OPERATIONAL,"2384 Sadler Road, Fernandina Beach",30.63881809999999,-81.4403021
594,Amelia Underwriters,OPERATIONAL,"117 Centre Street, Fernandina Beach",30.671471,-81.46400899999999
595,A1A Wealth Management Inc,OPERATIONAL,"1010 Atlantic Avenue, Fernandina Beach",30.670387,-81.4566601
596,8 Flags Insurance Agency,OPERATIONAL,"1411 South 14th Street STE M, Fernandina Beach",30.6520045,-81.4547401
597,Financial Strategies of Amelia,OPERATIONAL,"1979, 2338 South 8th Street, Fernandina Beach",30.6351306,-81.4590783
598,Smith Insurance Agency,OPERATIONAL,"102 Martha Drive #C, St. Marys",30.75686900000001,-81.5687432
599,Horace Mann Insurance Co,OPERATIONAL,"103 Sago Palm Drive, Kingsland",30.800448,-81.651406
600,Primerica,OPERATIONAL,"1905 Point Peter Road #121, St. Marys",30.7686783,-81.5478017
601,SunTrust,OPERATIONAL,"2203 Demere Road, St. Simons Island",31.15957589999999,-81.389696
602,Ameriway Insurance Company,OPERATIONAL,"1963 South 8th Street, Fernandina Beach",30.640278,-81.458918
603,Tatum Insurance Agency of Amelia Island,OPERATIONAL,"5317 South Fletcher Avenue #3, Fernandina Beach",30.5946825,-81.45548869999999
622,Tri-City Insurance,OPERATIONAL,"4275 2nd Street North, Folkston",30.833499,-82.0068854
