,Unnamed: 0,agency_name,agency_status,agency_address,agency_latitude,agency_longitude,latlng,city,state,county
25,25,Consumer Credit Counseling Services,OPERATIONAL,"2415 North Monroe Street, Tallahassee",30.4723327,-84.2915047,"30.4723327,-84.29150469999998",Tallahassee,Florida,Leon County
26,26,Aflac Insurance Agent Miriam Watkins,OPERATIONAL,"1105 Apalachee Parkway B, Tallahassee",30.4549151,-84.2761924,"30.45491509999999,-84.27619240000001",Tallahassee,Florida,Leon County
27,27,Farm Bureau Insurance,OPERATIONAL,"3375 Capital Circle Northeast, Tallahassee",30.4996275,-84.2469155,"30.499627500000006,-84.2469155",Tallahassee,Florida,Leon County
28,28,SunTrust,OPERATIONAL,"2051 Thomasville Road, Tallahassee",30.4687901,-84.2665721,"30.4687901,-84.26657209999998",Tallahassee,Florida,Leon County
29,29,AllQuote,OPERATIONAL,"2910 Kerry Forest Parkway, Tallahassee",30.5424261,-84.2248463,"30.5424261,-84.2248463",Tallahassee,Florida,Leon County
30,30,SunTrust,OPERATIONAL,"104 North Woodward Avenue, Tallahassee",30.444642,-84.2988275,"30.444642,-84.2988275",Tallahassee,Florida,Leon County
31,31,Coventry Health Care of FL Inc,OPERATIONAL,"1650 Summit Lake Drive # 100, Tallahassee",30.484508,-84.1524666,"30.48450800000001,-84.1524666",Tallahassee,Florida,Leon County
32,32,SunTrust,OPERATIONAL,"6779 Thomasville Road, Tallahassee",30.5642657,-84.2136008,"30.5642657,-84.2136008",Tallahassee,Florida,Leon County
33,33,First American Title Agency Services,OPERATIONAL,"2082 Summit Lake Drive, Tallahassee",30.485751,-84.14826,"30.485751,-84.14826",Tallahassee,Florida,Leon County
34,34,Tom Paterson: Allstate Insurance,OPERATIONAL,"8511 Bull Headley Road, Tallahassee",30.5877772,-84.2518535,"30.5877772,-84.25185350000002",Tallahassee,Florida,Leon County
35,35,"Ambition Productions, LLC",OPERATIONAL,"2525 South Monroe Street, Tallahassee",30.4150328,-84.2786202,"30.4150328,-84.27862019999998",Tallahassee,Florida,Leon County
36,36,SunTrust,OPERATIONAL,"123 South Monroe Street, Tallahassee",30.440997,-84.280463,"30.440997,-84.280463",Tallahassee,Florida,Leon County
37,37,Prudential | Linda Roberts|Life Insurance & Financial Services,OPERATIONAL,"3301 Thomasville Road, Tallahassee",30.495601,-84.2536303,"30.49560099999999,-84.2536303",Tallahassee,Florida,Leon County
38,38,Florida Farm Bureau Claims,OPERATIONAL,"1614 Mahan Center Boulevard # 105, Tallahassee",30.457979,-84.235685,"30.457979,-84.23568499999998",Tallahassee,Florida,Leon County
39,39,Fuba Workers Compensation,OPERATIONAL,"116 South Monroe Street, Tallahassee",30.441181,-84.2810609,"30.441181,-84.2810609",Tallahassee,Florida,Leon County
40,40,Allstate,OPERATIONAL,"1108 North Broad Street, Cairo",30.8884625,-84.2077908,"30.8884625,-84.2077908",Cairo,Georgia,Grady County
41,41,First American Title Insurance Co,OPERATIONAL,"1950 Raymond Diehl Road, Tallahassee",30.5003763,-84.2452747,"30.500376300000006,-84.2452747",Tallahassee,Florida,Leon County
42,42,Senior Life Insurance Company,OPERATIONAL,"1 Senior Life Lane, Thomasville",30.8171043,-84.002443,"30.8171043,-84.00244300000001",Thomasville,Georgia,Thomas County
43,43,State Farm Insurance,OPERATIONAL,"431 2nd Avenue Southeast # A, Cairo",30.8755722,-84.2020187,"30.8755722,-84.20201870000002",Cairo,Georgia,Grady County
44,44,Custard Insurance Adjusters,OPERATIONAL,"201 Stratford Way, Thomasville",30.7971255,-83.9938579,"30.7971255,-83.99385790000002",Thomasville,Georgia,Thomas County
45,45,Acceptance Insurance,OPERATIONAL,"15020 U.S. 19, Thomasville",30.8540691,-83.9442311,"30.8540691,-83.9442311",Thomasville,Georgia,Thomas County
46,46,Big Oak Benefits Group,OPERATIONAL,"116 East Monroe Street, Thomasville",30.840639,-83.982333,"30.840639000000003,-83.982333",Thomasville,Georgia,Thomas County
47,47,Thomas County Farm Bureau: Simmons Eddie,OPERATIONAL,"2376 Georgia 122, Thomasville",30.8541799,-83.939407,"30.8541799,-83.93940699999997",Thomasville,Georgia,Thomas County
48,48,Skinner's Crop Insurance,OPERATIONAL,"65 23rd Street Northeast, Cairo",30.8750516,-84.1810479,"30.8750516,-84.18104790000002",Cairo,Georgia,Grady County
49,49,First Commerce Credit Union,OPERATIONAL,"11395 U.S. 319, Thomasville",30.8608608,-83.9452972,"30.860860800000008,-83.94529720000001",Thomasville,Georgia,Thomas County
50,50,Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.2368308,"30.9475647,-83.23683079999998",Valdosta,Georgia,Lowndes County
51,51,Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.8358454,-83.2810058,"30.8358454,-83.28100580000002",Valdosta,Georgia,Lowndes County
52,52,Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.3072607,"30.8787783,-83.30726070000001",Valdosta,Georgia,Lowndes County
53,53,Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.8599317,-83.3108369,"30.85993169999999,-83.31083690000001",Valdosta,Georgia,Lowndes County
54,54,Holwell-Fletcher Insurance Agency,OPERATIONAL,"603 East Screven Street, Quitman",30.7844454,-83.5549237,"30.7844454,-83.55492369999997",Quitman,Georgia,Brooks County
55,55,1st Choice Insurance Agency,OPERATIONAL,"1100 East Jackson Street D, Thomasville",30.8478503,-83.9642326,"30.84785029999999,-83.96423260000002",Thomasville,Georgia,Thomas County
56,56,J Keyton Co,OPERATIONAL,"518 North Broad Street, Thomasville",30.8424059,-83.9844679,"30.8424059,-83.9844679",Thomasville,Georgia,Thomas County
57,57,Stephen Gainous - State Farm Insurance Agent,OPERATIONAL,"117 West Jefferson Street, Thomasville",30.837945,-83.981681,"30.837945,-83.98168100000002",Thomasville,Georgia,Thomas County
58,58,Forsyth Insurance,OPERATIONAL,"127 East Jackson Street, Thomasville",30.8381023,-83.9795114,"30.8381023,-83.97951139999998",Thomasville,Georgia,Thomas County
59,59,J Smith Lanier & Co,OPERATIONAL,"327 North Broad Street, Thomasville",30.8399493,-83.9828936,"30.8399493,-83.9828936",Thomasville,Georgia,Thomas County
60,60,Taylor Benefit Resource,OPERATIONAL,"164 Commercial Drive, Thomasville",30.8500023,-83.9428335,"30.8500023,-83.94283349999998",Thomasville,Georgia,Thomas County
61,61,Lewis Insurance Inc,OPERATIONAL,"127 East Washington Street, Thomasville",30.840292,-83.980987,"30.84029199999999,-83.980987",Thomasville,Georgia,Thomas County
62,62,South Ga Benefits Consultants,OPERATIONAL,"312 North Crawford Street, Thomasville",30.8407487,-83.9807196,"30.840748699999995,-83.9807196",Thomasville,Georgia,Thomas County
63,63,Jamil Robertson - Unified Insurance Agent,OPERATIONAL,"S, 14004 Old Albany Road #104, Thomasville",30.8408354,-83.9429729,"30.8408354,-83.9429729",Thomasville,Georgia,Thomas County
64,64,Elm Insurance & Financial Services,OPERATIONAL,"234 West Jackson Street, Thomasville",30.8370558,-83.9794694,"30.8370558,-83.9794694",Thomasville,Georgia,Thomas County
65,65,Farmers Insurance - Venice Causey,OPERATIONAL,"107 North Crawford Street, Thomasville",30.8386471,-83.9794781,"30.838647100000006,-83.9794781",Thomasville,Georgia,Thomas County
66,66,Aflac: Zachary Parker,OPERATIONAL,"4676 San Saba Drive, Hahira",30.9148253,-83.3388816,"30.914825300000004,-83.3388816",Hahira,Georgia,Lowndes County
67,67,Direct Auto Insurance,OPERATIONAL,"1515 North Ashley Street Suite A, Valdosta",30.8499772,-83.2800903,"30.84997719999999,-83.2800903",Valdosta,Georgia,Lowndes County
68,68,Barry Broome: Allstate Insurance,OPERATIONAL,"3310 Bemiss Road, Valdosta",30.8851326,-83.2729661,"30.8851326,-83.27296609999998",Valdosta,Georgia,Lowndes County
69,69,Tatum Insurance,OPERATIONAL,"2502 C Jerry Jones Drive STE 2, Valdosta",30.8621337,-83.3089806,"30.8621337,-83.3089806",Valdosta,Georgia,Lowndes County
70,70,H & H Insurance Solutions Inc,OPERATIONAL,"3342 Greystone Way, Valdosta",30.8826681,-83.2944324,"30.882668100000004,-83.29443239999998",Valdosta,Georgia,Lowndes County
71,71,Turner Insurance Services LLC,OPERATIONAL,"2218 North Patterson Street b, Valdosta",30.8576,-83.2893,"30.8576,-83.2893",Valdosta,Georgia,Lowndes County
72,72,New York Life,OPERATIONAL,"913 North Patterson Street, Valdosta",30.840516,-83.283587,"30.840516,-83.283587",Valdosta,Georgia,Lowndes County
73,73,Partners Benefit Group,OPERATIONAL,"1201 Williams Street, Valdosta",30.8446758,-83.2819584,"30.844675800000005,-83.28195840000002",Valdosta,Georgia,Lowndes County
74,74,New York Life Insurance Co: Glen Jones,OPERATIONAL,"2218 North Patterson Street, Valdosta",30.8576,-83.2893,"30.8576,-83.2893",Valdosta,Georgia,Lowndes County
75,75,Taylor Insurance Services,OPERATIONAL,"2000 North Patterson Street, Valdosta",30.8545,-83.289,"30.8545,-83.289",Valdosta,Georgia,Lowndes County
76,76,James R Parker - Aflac Insurance Agent,OPERATIONAL,"4712 Radar Site Road, Valdosta",30.9736726,-83.2412872,"30.973672600000004,-83.2412872",Valdosta,Georgia,Lowndes County
77,77,New York Life,OPERATIONAL,"112 Webster Street, Valdosta",30.8370935,-83.2805194,"30.8370935,-83.2805194",Valdosta,Georgia,Lowndes County
78,78,Southern Insurance,OPERATIONAL,"2315 North Ashley Street, Valdosta",30.8619302,-83.2829505,"30.86193020000001,-83.2829505",Valdosta,Georgia,Lowndes County
79,79,Client Tell,OPERATIONAL,"3185 Madison Highway, Valdosta",30.7637548,-83.2672919,"30.7637548,-83.26729189999998",Valdosta,Georgia,Lowndes County
80,80,Karen Bennett - Aflac Insurance Agent,OPERATIONAL,"2863 Willow Wood Circle, Valdosta",30.8685721,-83.2976649,"30.86857209999999,-83.29766490000002",Valdosta,Georgia,Lowndes County
81,81,Intervest International Inc,OPERATIONAL,"3402 Bemiss Road, Valdosta",30.8876,-83.272,"30.8876,-83.27199999999998",Valdosta,Georgia,Lowndes County
82,82,Brent Dixon - State Farm Insurance Agent,OPERATIONAL,"119 South Parrish Avenue, Adel",31.1366173,-83.4219944,"31.1366173,-83.4219944",Adel,Georgia,Cook County
83,83,Southside Title Pawn,OPERATIONAL,"414 N, Saint Augustine Road, Valdosta",30.8323349,-83.3114805,"30.8323349,-83.3114805",Valdosta,Georgia,Lowndes County
84,84,Nationwide Insurance/David Zavala,OPERATIONAL,"U.S. 441, Demorest",30.9637854,-82.6620441,"30.9637854,-82.6620441",Homerville,Georgia,Clinch County
85,85,Alliance Insurance,OPERATIONAL,"440 15th Avenue Northwest #5857, Jasper",30.5230824,-82.960311,"30.5230824,-82.96031099999998",Jasper,Florida,Hamilton County
86,86,Farm Bureau of Lanier County,OPERATIONAL,"716 West Thigpen Avenue, Lakeland",31.0410327,-83.0819589,"31.0410327,-83.08195889999998",Lakeland,Georgia,Lanier County
87,87,Jay Shaw Co,OPERATIONAL,"39 South Valdosta Road, Lakeland",31.0410228,-83.0752515,"31.0410228,-83.07525150000002",Lakeland,Georgia,Lanier County
88,88,Titlemike's,OPERATIONAL,"850 Valdosta Highway, Homerville",31.0342104,-82.7614778,"31.0342104,-82.7614778",Homerville,Georgia,Clinch County
89,89,Harrell Insurance Agency,OPERATIONAL,"109 Hatley Street West, Jasper",30.518429,-82.9483129,"30.518429,-82.94831289999998",Jasper,Florida,Hamilton County
90,90,Grange Insurance,OPERATIONAL,Homerville,31.0367608,-82.7466059,"31.0367608,-82.74660589999998",Homerville,Georgia,Clinch County
91,91,Tatum Insurance of Jasper,OPERATIONAL,"507 Hatley Street West ste a, Jasper",30.518975,-82.9512589,"30.518975,-82.9512589",Jasper,Florida,Hamilton County
92,92,Barlow & Bowen Insurance Center: Barlow Shannon,OPERATIONAL,"2225 Bemiss Road, Valdosta",30.8630988,-83.2797801,"30.8630988,-83.27978010000002",Valdosta,Georgia,Lowndes County
93,93,Barlow & Bowen Insurance Center,OPERATIONAL,"952 Saint Augustine Road, Valdosta",30.8365602,-83.3172959,"30.83656019999999,-83.31729589999998",Valdosta,Georgia,Lowndes County
94,94,Georgia Farm Bureau,OPERATIONAL,"24 Courtland Avenue, Homerville",31.037263,-82.7469668,"31.037263,-82.7469668",Homerville,Georgia,Clinch County
95,95,Farm Bureau Insurance,OPERATIONAL,"1117 North West U.S. Highway 41, Jasper",30.5223066,-82.9566848,"30.52230660000001,-82.95668479999998",Jasper,Florida,Hamilton County
96,96,Lutz Brown Peagler & Manley,OPERATIONAL,"28 East Dame Avenue, Homerville",31.0366409,-82.7465279,"31.0366409,-82.74652789999998",Homerville,Georgia,Clinch County
97,97,Rainwater Insurance Inc,OPERATIONAL,"517 North Church Street, Homerville",31.0435386,-82.7508856,"31.0435386,-82.75088559999998",Homerville,Georgia,Clinch County
98,98,Georgia Farm Bureau Insurance,OPERATIONAL,"202 U.S. 129, Statenville",30.7075031,-83.0273991,"30.7075031,-83.0273991",Statenville,Georgia,Echols County
99,99,The Greater Mount Olive Church,OPERATIONAL,Waycross,31.1482724,-82.4419092,"31.1482724,-82.44190920000001",Waycross,Georgia,Ware County
100,100,StateFarm insurance Agency,OPERATIONAL,"6064 U.S. 84, Naylor",30.9093225,-83.0759381,"30.9093225,-83.07593809999999",Naylor,Georgia,Lowndes County
101,101,Whitaker Doug,OPERATIONAL,Jasper,30.5183769,-82.9483328,"30.5183769,-82.9483328",Jasper,Florida,Hamilton County
102,102,Hamm Insurance,OPERATIONAL,"59 West Main Street, Lakeland",31.0405765,-83.0760481,"31.0405765,-83.0760481",Lakeland,Georgia,Lanier County
103,103,New You Ministries of Life,OPERATIONAL,"1203 Lewis Street, Waycross",31.1930387,-82.3692349,"31.19303870000001,-82.36923490000002",Waycross,Georgia,Ware County
104,104,Farmers Insurance - Daniel Dowling,OPERATIONAL,"2484 Memorial Drive, Waycross",31.1945849,-82.3218213,"31.1945849,-82.3218213",Waycross,Georgia,Ware County
105,105,"Jason Conley - COUNTRY Financial in Waycross, GA",OPERATIONAL,"2450 Memorial Drive, Waycross",31.1957053,-82.321861,"31.1957053,-82.321861",Waycross,Georgia,Ware County
106,106,David Hand - State Farm Insurance Agent,OPERATIONAL,"1350 Memorial Drive, Waycross",31.2087907,-82.3420274,"31.20879069999999,-82.34202739999998",Waycross,Georgia,Ware County
107,107,Acceptance Insurance,OPERATIONAL,"1107 Knight Avenue, Waycross",31.2087807,-82.3375494,"31.2087807,-82.3375494",Waycross,Georgia,Ware County
108,108,Robert Wallace: Allstate Insurance,OPERATIONAL,"707 Knight Avenue, Waycross",31.2099284,-82.3424056,"31.2099284,-82.34240559999998",Waycross,Georgia,Ware County
109,109,Stacie Jones - State Farm Insurance Agent,OPERATIONAL,"54 Hatcher Point Road, Waycross",31.2019367,-82.3207734,"31.20193669999999,-82.32077340000002",Waycross,Georgia,Ware County
110,110,HH Burnet & Company Inc,OPERATIONAL,"210 Tebeau Street, Waycross",31.2092179,-82.360947,"31.2092179,-82.360947",Waycross,Georgia,Ware County
111,111,BurseCo Financial Services,OPERATIONAL,"875 Tebeau Street, Waycross",31.2164359,-82.3604249,"31.2164359,-82.36042490000001",Waycross,Georgia,Ware County
112,112,J. Smith Lanier & Company,OPERATIONAL,"600 Memorial Drive, Waycross",31.2110031,-82.3516034,"31.211003100000006,-82.35160340000002",Waycross,Georgia,Ware County
113,113,Nationwide Insurance: Gregory Patrick Hawthorne,OPERATIONAL,"516 Lott Street, Waycross",31.2125995,-82.3585634,"31.2125995,-82.35856340000002",Waycross,Georgia,Ware County
114,114,Wilson Insurance,OPERATIONAL,"601 Mary Street, Waycross",31.2102981,-82.3612006,"31.210298100000006,-82.36120059999998",Waycross,Georgia,Ware County
115,115,COUNTRY Financial - The Harrell Insurance Agency,OPERATIONAL,"618 Tebeau Street, Waycross",31.2139932,-82.3604673,"31.213993200000008,-82.3604673",Waycross,Georgia,Ware County
116,116,Chris Brown - COUNTRY Financial representative,OPERATIONAL,"618 Tebeau Street, Waycross",31.2139932,-82.3604673,"31.213993200000008,-82.3604673",Waycross,Georgia,Ware County
117,117,Scott Ray - COUNTRY Financial representative,OPERATIONAL,"2450 Memorial Drive, Waycross",31.1954312,-82.3227847,"31.1954312,-82.32278470000001",Waycross,Georgia,Ware County
118,118,McNeil & Sports,OPERATIONAL,"2000 U.S. 84, Waycross",31.2228021,-82.342753,"31.2228021,-82.342753",Waycross,Georgia,Ware County
119,119,Brooks Joiner - COUNTRY Financial representative,OPERATIONAL,"1951 Commerce Drive Ste B, Kingsland",30.780629,-81.6293239,"30.780629,-81.6293239",Kingsland,Georgia,Camden County
120,120,Georgia Farm Bureau,OPERATIONAL,"180 Mariners Drive, Kingsland",30.7705038,-81.6198841,"30.7705038,-81.6198841",Kingsland,Georgia,Camden County
121,121,Michael White - COUNTRY Financial representative,OPERATIONAL,"9811 South Main Street, Nahunta",31.2026926,-81.9823845,"31.2026926,-81.9823845",Nahunta,Georgia,Brantley County
122,122,Georgia Title,OPERATIONAL,"1204 Hospitality Avenue c, Kingsland",30.7893141,-81.6494852,"30.7893141,-81.6494852",Kingsland,Georgia,Camden County
123,123,Georgia Farm Bureau Insurance,OPERATIONAL,"1311 Broome Street, Nahunta",31.205231,-81.9795694,"31.205231,-81.9795694",Nahunta,Georgia,Brantley County
124,124,Georgia Farm Bureau,OPERATIONAL,"239 1st Street, Folkston",30.8276625,-82.006204,"30.8276625,-82.006204",Folkston,Georgia,Charlton County
125,125,Maggie Gooch - State Farm Insurance Agent,OPERATIONAL,"1621 Hwy 40 E, Ste A, Kingsland",30.7823999,-81.6305225,"30.78239989999999,-81.6305225",Kingsland,Georgia,Camden County
126,126,The Shores Agency Inc.,OPERATIONAL,"1615 Sandpiper Court, St. Marys",30.747053,-81.63358,"30.747053,-81.63358000000002",St. Marys,Georgia,Camden County
127,127,Satilla Insurance Group,OPERATIONAL,"553408 U.S. 1, Hilliard",30.7327537,-81.9457801,"30.7327537,-81.9457801",Hilliard,Florida,Nassau County
128,128,Georgia Farm Bureau,OPERATIONAL,"2160 Brunswick Highway #6509, Waycross",31.2037625,-82.3254512,"31.2037625,-82.32545119999997",Waycross,Georgia,Ware County
129,129,Robert W Tison & Associates,OPERATIONAL,"12341 Yellow Bluff Road # 2, Jacksonville",30.4594139,-81.5783242,"30.45941389999999,-81.57832420000003",Jacksonville,Florida,Duval County
130,130,SunTrust,OPERATIONAL,"700 Gloucester Street Suite 101, Brunswick",31.1492448,-81.4929844,"31.1492448,-81.4929844",Brunswick,Georgia,Glynn County
131,131,SunTrust,OPERATIONAL,"86 Golden Isles Plaza, Brunswick",31.2120037,-81.4912444,"31.2120037,-81.49124440000001",Brunswick,Georgia,Glynn County
132,132,"Morrow Insurance Group, Inc.",OPERATIONAL,"1896 South 14th Street # 5, Fernandina Beach",30.6427971,-81.4548958,"30.642797100000006,-81.4548958",Fernandina Beach,Florida,Nassau County
133,133,Amelia Insurance,OPERATIONAL,"2384 Sadler Road, Fernandina Beach",30.6388181,-81.4403021,"30.63881809999999,-81.4403021",Fernandina Beach,Florida,Nassau County
134,134,Amelia Underwriters,OPERATIONAL,"117 Centre Street, Fernandina Beach",30.671471,-81.464009,"30.671471,-81.46400899999998",Fernandina Beach,Florida,Nassau County
135,135,A1A Wealth Management Inc,OPERATIONAL,"1010 Atlantic Avenue, Fernandina Beach",30.670387,-81.4566601,"30.670387,-81.4566601",Fernandina Beach,Florida,Nassau County
136,136,8 Flags Insurance Agency,OPERATIONAL,"1411 South 14th Street STE M, Fernandina Beach",30.6520045,-81.4547401,"30.6520045,-81.4547401",Fernandina Beach,Florida,Nassau County
137,137,Financial Strategies of Amelia,OPERATIONAL,"1979, 2338 South 8th Street, Fernandina Beach",30.6351306,-81.4590783,"30.635130600000004,-81.45907829999999",Fernandina Beach,Florida,Nassau County
138,138,Smith Insurance Agency,OPERATIONAL,"102 Martha Drive #C, St. Marys",30.756869,-81.5687432,"30.75686900000001,-81.5687432",St. Marys,Georgia,Camden County
139,139,Primerica,OPERATIONAL,"1905 Point Peter Road #121, St. Marys",30.7686783,-81.5478017,"30.7686783,-81.5478017",St. Marys,Georgia,Camden County
140,140,SunTrust,OPERATIONAL,"2203 Demere Road, St. Simons Island",31.1595759,-81.389696,"31.15957589999999,-81.389696",St. Simons Island,Georgia,Glynn County
141,141,Ameriway Insurance Company,OPERATIONAL,"1963 South 8th Street, Fernandina Beach",30.640278,-81.458918,"30.640278,-81.45891800000003",Fernandina Beach,Florida,Nassau County
142,142,Tatum Insurance Agency of Amelia Island,OPERATIONAL,"5317 South Fletcher Avenue #3, Fernandina Beach",30.5946825,-81.4554887,"30.5946825,-81.45548869999998",Fernandina Beach,Florida,Nassau County
143,143,Agri Insurance Services,OPERATIONAL,"22 Court Square, Blakely",31.3770294,-84.9336417,"31.37702939999999,-84.9336417",Blakely,Georgia,Early County
144,144,Whittaker Insurance and Realty,OPERATIONAL,"206 South Knox Avenue, Donalsonville",31.0411126,-84.8843721,"31.0411126,-84.8843721",Donalsonville,Georgia,Seminole County
145,145,Melinda Taylor - State Farm Insurance Agent,OPERATIONAL,"231 South Broad Street Suite 1, Bainbridge",30.9043316,-84.5754019,"30.90433160000001,-84.5754019",Bainbridge,Georgia,Decatur County
146,146,Amanda Palmer - State Farm Insurance Agent,OPERATIONAL,"809 South Tennille Avenue, Donalsonville",31.0323003,-84.8792459,"31.032300300000006,-84.8792459",Donalsonville,Georgia,Seminole County
147,147,Colquitt Insurance & Realty Services Inc,OPERATIONAL,"167 East Crawford Street, Colquitt",31.1695087,-84.7308615,"31.1695087,-84.7308615",Colquitt,Georgia,Miller County
148,148,Palmer Insurance Agency,OPERATIONAL,"312 East Shotwell Street, Bainbridge",30.9037944,-84.5744662,"30.903794399999995,-84.57446619999997",Bainbridge,Georgia,Decatur County
149,149,Forsyth Insurance,OPERATIONAL,"725 East Shotwell Street, Bainbridge",30.9041255,-84.5695033,"30.9041255,-84.5695033",Bainbridge,Georgia,Decatur County
150,150,"Steve Elrod & Associates, Inc.",OPERATIONAL,"623 South West Street, Bainbridge",30.9003893,-84.5764409,"30.9003893,-84.57644090000002",Bainbridge,Georgia,Decatur County
151,151,Reynolds-Jeffords Insurance Agency,OPERATIONAL,"322 South West Street, Bainbridge",30.9032198,-84.5767403,"30.9032198,-84.5767403",Bainbridge,Georgia,Decatur County
152,152,Burke Insurance,OPERATIONAL,"210 South Woolfork Avenue, Donalsonville",31.041304,-84.8810394,"31.04130400000001,-84.88103939999998",Donalsonville,Georgia,Seminole County
153,153,G W Insurance,OPERATIONAL,"105 North West Street, Bainbridge",30.9059725,-84.5766909,"30.9059725,-84.57669090000002",Bainbridge,Georgia,Decatur County
154,154,Lane Crop Insurance,OPERATIONAL,"239 East Grow Street, Colquitt",31.1647029,-84.7264924,"31.1647029,-84.72649240000001",Colquitt,Georgia,Miller County
155,155,State Farm Insurance Agnecy,OPERATIONAL,"220 South Woolfork Avenue, Donalsonville",31.0409971,-84.8811181,"31.0409971,-84.8811181",Donalsonville,Georgia,Seminole County
