agency_name,agency_status,agency_address,agency_latitude,agency_longitude,latlng,city,GA_state,county
Integrity Medicare Solutions,OPERATIONAL,"270 Cobb Parkway Southeast, Marietta",33.9452971,-84.5193516,"33.945297100000005,-84.51935160000002",Marietta,Georgia,Cobb County
Aflac,OPERATIONAL,"107 Redmond Road, Rome",34.2779269,-85.1860407,"34.2779269,-85.18604069999998",Rome,Georgia,Floyd County
Aflac,OPERATIONAL,"107 Postelle Street, Cartersville",34.166364,-84.7991763,"34.166364,-84.79917629999998",Cartersville,Georgia,Bartow County
White Insurance Metro Atlanta,OPERATIONAL,"3104 Creekside Village Drive Northwest Suite 101, Kennesaw",34.0321936,-84.6557759,"34.03219360000001,-84.65577590000001",Kennesaw,Georgia,Cobb County
Farmers Insurance- The Hathaway Agency,OPERATIONAL,"3905 Jiles Road, Kennesaw",34.049011,-84.619939,"34.049011,-84.619939",Kennesaw,Georgia,Cobb County
Unum,OPERATIONAL,"415 Smith Road, LaFayette",34.6241932,-85.1381509,"34.6241932,-85.13815090000001",LaFayette,Georgia,Walker County
Triumph Advisors,OPERATIONAL,"2230 Towne Lake Parkway, Woodstock",34.110072,-84.552552,"34.110071999999995,-84.55255199999998",Woodstock,Georgia,Cherokee County
Acceptance Insurance,OPERATIONAL,"960 North Tennessee Street, Cartersville",34.1875931,-84.7961448,"34.1875931,-84.7961448",Cartersville,Georgia,Bartow County
Aflac,OPERATIONAL,"507 South Thornton Avenue, Dalton",34.76664,-84.9712132,"34.76663999999999,-84.9712132",Dalton,Georgia,Whitfield County
Aflac,OPERATIONAL,"714 South Thornton Avenue # D, Dalton",34.7621158,-84.9718834,"34.7621158,-84.97188340000001",Dalton,Georgia,Whitfield County
Meadowbrook Insurance LLC,OPERATIONAL,"300 Parkbrooke Place, Woodstock",34.1100721,-84.5600539,"34.110072100000004,-84.56005390000001",Woodstock,Georgia,Cherokee County
Wayne White Insurance Agency,OPERATIONAL,"127 Kenmorland Circle, Calhoun",34.4777522,-84.9310116,"34.47775219999999,-84.93101159999998",Calhoun,Georgia,Gordon County
Healthtrust Financial Network,OPERATIONAL,"85 Golf Crest Drive # 205, Acworth",34.0503081,-84.759842,"34.0503081,-84.75984199999998",Acworth,Georgia,Paulding County
Grover Lunsford - State Farm Insurance Agent,OPERATIONAL,"972 Rome Road Southwest, Calhoun",34.470015,-84.9732222,"34.47001499999999,-84.97322220000001",Calhoun,Georgia,Gordon County
Georgia Farm Bureau,OPERATIONAL,"487 West Belmont Drive, Calhoun",34.481686,-84.946225,"34.481685999999996,-84.946225",Calhoun,Georgia,Gordon County
Aetna- Authorized Agent,OPERATIONAL,"4463 Towne Lake Parkway #100, Woodstock",34.126731,-84.572263,"34.126731,-84.57226299999998",Woodstock,Georgia,Cherokee County
Rutledge Agency,OPERATIONAL,"5508 Corn Mill Lane, Powder Springs",33.9711087,-84.7139065,"33.97110869999999,-84.7139065",Powder Springs,Georgia,Cobb County
Abbey Insurance,OPERATIONAL,"3950 Cobb Parkway Northwest # 105, Acworth",34.0516418,-84.701106,"34.05164180000001,-84.70110600000001",Acworth,Georgia,Cobb County
A & A Tax & Financial Services,OPERATIONAL,"125 Townpark Drive #300, Kennesaw",34.0399228,-84.5670862,"34.03992279999999,-84.56708619999998",Kennesaw,Georgia,Cobb County
David Butler Enterprises,OPERATIONAL,"2230 Towne Lake Parkway, Woodstock",34.1101912,-84.5519075,"34.1101912,-84.55190750000001",Woodstock,Georgia,Cherokee County
Julie Svardh - State Farm Insurance Agent,OPERATIONAL,"1515 Dean Avenue, Rome",34.2334139,-85.1594156,"34.233413899999995,-85.15941560000002",Rome,Georgia,Floyd County
John Warren Agency,OPERATIONAL,"319 East Main Street, Cartersville",34.1664597,-84.7900366,"34.166459700000004,-84.7900366",Cartersville,Georgia,Bartow County
Aflac,OPERATIONAL,"505 N St, Valdosta",30.9475647,-83.2368308,"30.9475647,-83.23683079999998",Valdosta,Georgia,Lowndes County
Aaaa 4A Insurance Corporation,OPERATIONAL,"509 North Patterson Street # 301A, Valdosta",30.8358454,-83.2810058,"30.835845399999997,-83.28100580000002",Valdosta,Georgia,Lowndes County
Georgia Farm Bureau,OPERATIONAL,"3525 North Crossing Circle, Valdosta",30.8787783,-83.3072607,"30.8787783,-83.30726070000001",Valdosta,Georgia,Lowndes County
SunTrust,OPERATIONAL,"200 John Howard Way, Tifton",31.4560549,-83.5124123,"31.4560549,-83.51241230000001",Tifton,Georgia,Tift County
Angie Crawford - State Farm Insurance Agent,OPERATIONAL,"1106 Gornto Road, Valdosta",30.8599317,-83.3108369,"30.85993169999999,-83.31083690000001",Valdosta,Georgia,Lowndes County
First Commerce Credit Union,OPERATIONAL,"101 North Hutchinson Avenue, Adel",31.1372566,-83.4236194,"31.1372566,-83.42361939999998",Adel,Georgia,Cook County
Brent Dixon - State Farm Insurance Agent,OPERATIONAL,"119 South Parrish Avenue, Adel",31.1366173,-83.4219944,"31.1366173,-83.4219944",Adel,Georgia,Cook County
H & H Insurance Solutions Inc,OPERATIONAL,"3342 Greystone Way, Valdosta",30.8826681,-83.2944324,"30.882668100000004,-83.29443239999998",Valdosta,Georgia,Lowndes County
Barry Broome: Allstate Insurance,OPERATIONAL,"3310 Bemiss Road, Valdosta",30.8851326,-83.2729661,"30.8851326,-83.27296609999998",Valdosta,Georgia,Lowndes County
James R Parker - Aflac Insurance Agent,OPERATIONAL,"4712 Radar Site Road, Valdosta",30.9736726,-83.2412872,"30.973672600000004,-83.2412872",Valdosta,Georgia,Lowndes County
Tatum Insurance,OPERATIONAL,"2502 C Jerry Jones Drive STE 2, Valdosta",30.8621337,-83.3089806,"30.8621337,-83.3089806",Valdosta,Georgia,Lowndes County
Turner Insurance Services LLC,OPERATIONAL,"2218 North Patterson Street b, Valdosta",30.8576,-83.2893,"30.8576,-83.2893",Valdosta,Georgia,Lowndes County
Adel Insurance Inc,OPERATIONAL,"124 South Hutchinson Avenue, Adel",31.1363334,-83.4232822,"31.136333399999998,-83.4232822",Adel,Georgia,Cook County
Direct Auto Insurance,OPERATIONAL,"1515 North Ashley Street Suite A, Valdosta",30.8499772,-83.2800903,"30.84997719999999,-83.2800903",Valdosta,Georgia,Lowndes County
Rountree Realty & Insurance,OPERATIONAL,"41 South Robinson Street, Lenox",31.271103,-83.464738,"31.271103000000004,-83.464738",Lenox,Georgia,Cook County
"Kelley Insurance Services of GA., Inc.",OPERATIONAL,"2612 1st Avenue Southeast, Moultrie",31.1728938,-83.7525527,"31.1728938,-83.7525527",Moultrie,Georgia,Colquitt County
New York Life Insurance Co: Glen Jones,OPERATIONAL,"2218 North Patterson Street, Valdosta",30.8576,-83.2893,"30.8576,-83.2893",Valdosta,Georgia,Lowndes County
Sharon DeMott - State Farm Insurance Agent,OPERATIONAL,"805 South Main Street, Moultrie",31.171721,-83.78854,"31.171721,-83.78854",Moultrie,Georgia,Colquitt County
Karen Bennett - Aflac Insurance Agent,OPERATIONAL,"2863 Willow Wood Circle, Valdosta",30.8685721,-83.2976649,"30.86857209999999,-83.29766490000002",Valdosta,Georgia,Lowndes County
Cotton States Insurance,OPERATIONAL,"114 West 12th Street A, Tifton",31.4635923,-83.5082494,"31.46359229999999,-83.50824940000001",Tifton,Georgia,Tift County
Aflac: John Driver,OPERATIONAL,"2007 Pinecliff Drive, Valdosta",30.8495412,-83.3247231,"30.8495412,-83.32472309999999",Valdosta,Georgia,Lowndes County
Laurens County farm bureau,OPERATIONAL,"1511 Telfair Street, Dublin",32.5232923,-82.9182621,"32.52329229999999,-82.91826209999998",Dublin,Georgia,Laurens County
John Mark Butler - State Farm Insurance Agent,OPERATIONAL,"1518 Bellevue Road, Dublin",32.5345197,-82.9288134,"32.5345197,-82.92881340000001",Dublin,Georgia,Laurens County
Phillip Gay - State Farm Insurance Agent,OPERATIONAL,"1215 Arch Street, Soperton",32.38165,-82.5870225,"32.38164999999999,-82.5870225",Soperton,Georgia,Treutlen County
Ellington Insurance Inc.,OPERATIONAL,"121 South Green Street, Swainsboro",32.5956113,-82.334045,"32.5956113,-82.33404499999999",Swainsboro,Georgia,Emanuel County
Danny E Davis State Farm Insurance,OPERATIONAL,"1203 Bellevue Avenue, Dublin",32.5363763,-82.9221967,"32.5363763,-82.9221967",Dublin,Georgia,Laurens County
Quick Cash,OPERATIONAL,"907 Hillcrest Parkway STE B, Dublin",32.5485645,-82.9285085,"32.548564500000005,-82.92850849999999",Dublin,Georgia,Laurens County
Owen Bailey - State Farm Insurance Agent,OPERATIONAL,"112 Park Place, Dublin",32.5387142,-82.9125009,"32.53871420000001,-82.91250090000001",Dublin,Georgia,Laurens County
Georgia Farm Bureau,OPERATIONAL,"6570 East College Street, Wrightsville",32.7285576,-82.7100599,"32.72855759999999,-82.71005989999998",Wrightsville,Georgia,Johnson County
Middle Georgia Insurance Inc.,OPERATIONAL,"1307 Bellevue Avenue, Dublin",32.5360216,-82.9246921,"32.5360216,-82.9246921",Dublin,Georgia,Laurens County
Lovett Insurance Agency Inc.,OPERATIONAL,"510 A Bellevue Avenue, Dublin",32.5378714,-82.9110432,"32.5378714,-82.91104320000001",Dublin,Georgia,Laurens County
Marty Thompson - State Farm Insurance Agent,OPERATIONAL,"8660 South Marcus Street, Wrightsville",32.7292368,-82.7194058,"32.72923679999999,-82.71940579999998",Wrightsville,Georgia,Johnson County
Dublin Insurance Center,OPERATIONAL,"1104 North Jefferson Street, Dublin",32.550722,-82.9127504,"32.550722,-82.91275040000001",Dublin,Georgia,Laurens County
"Yates Insurance & Real Estate, Inc.",OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.5410595,-82.9503605,"32.541059499999996,-82.9503605",Dublin,Georgia,Laurens County
Clements and Keen Insurance,OPERATIONAL,"503 Bellevue Avenue, Dublin",32.5387242,-82.9103253,"32.5387242,-82.9103253",Dublin,Georgia,Laurens County
Curtis Edwards Insurance,OPERATIONAL,"803 Hillcrest Parkway, Dublin",32.5498229,-82.9257521,"32.5498229,-82.9257521",Dublin,Georgia,Laurens County
Clark Allison Y,OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.5410894,-82.9503657,"32.5410894,-82.95036569999998",Dublin,Georgia,Laurens County
Acceptance Insurance,OPERATIONAL,"1831 Veterans Boulevard Suite C, Dublin",32.5401057,-82.9417123,"32.5401057,-82.94171229999998",Dublin,Georgia,Laurens County
BB&T Insurance Services,OPERATIONAL,"101 West Moring Street, Swainsboro",32.595643,-82.3332686,"32.595643,-82.3332686",Swainsboro,Georgia,Emanuel County
American General Life Insurance Co,OPERATIONAL,"1113 Hillcrest Parkway # A, Dublin",32.5457188,-82.9404741,"32.5457188,-82.94047409999999",Dublin,Georgia,Laurens County
Cash Express Title Pawn,OPERATIONAL,"1406 East 1st Street, Vidalia",32.2121033,-82.3951781,"32.2121033,-82.3951781",Vidalia,Georgia,Toombs County
Bostic & Associates,OPERATIONAL,Dublin,32.5399563,-82.9001096,"32.5399563,-82.9001096",Dublin,Georgia,Laurens County
Mike Manning - State Farm Insurance Agent,OPERATIONAL,"408 Jackson Street, Vidalia",32.2136635,-82.4133466,"32.2136635,-82.41334659999998",Vidalia,Georgia,Toombs County
Nationwide Insurance: Dennis Banks Agency Inc.,OPERATIONAL,"312 Maple Drive, Vidalia",32.2062328,-82.3910517,"32.206232799999995,-82.39105169999998",Vidalia,Georgia,Toombs County
Montgomery Bank & Trust,OPERATIONAL,"1705 East 1st Street, Vidalia",32.2102569,-82.3905938,"32.2102569,-82.39059379999998",Vidalia,Georgia,Toombs County
Sowell Insurance Inc,OPERATIONAL,"208 College Street, Vidalia",32.22089,-82.4162465,"32.220890000000004,-82.4162465",Vidalia,Georgia,Toombs County
Bishop Durden Insurance Group,OPERATIONAL,"400 Jackson Street, Vidalia",32.214352,-82.4129873,"32.214352000000005,-82.4129873",Vidalia,Georgia,Toombs County
Kailey Dees - State Farm Insurance Agent,OPERATIONAL,"205 Rigsbee Drive, Vidalia",32.210732,-82.3951515,"32.210732,-82.3951515",Vidalia,Georgia,Toombs County
Zorn,OPERATIONAL,"603 West 1st Street, Vidalia",32.2211647,-82.4206107,"32.2211647,-82.42061070000001",Vidalia,Georgia,Toombs County
Allstate Insurance Agency,OPERATIONAL,"104 East 1st Street, Vidalia",32.2173742,-82.4124707,"32.217374199999995,-82.4124707",Vidalia,Georgia,Toombs County
Dixon O'Neal Agency Inc,OPERATIONAL,"405 West 1st Street, Vidalia",32.2200025,-82.4177095,"32.2200025,-82.4177095",Vidalia,Georgia,Toombs County
Mt Vernon Insurance,OPERATIONAL,"303 West Spring Street, Mount Vernon",32.1782655,-82.5976299,"32.1782655,-82.59762990000002",Mount Vernon,Georgia,Montgomery County
Brown Insurance Group,OPERATIONAL,"510 Church Street, Vidalia",32.2135352,-82.4153597,"32.2135352,-82.41535970000001",Vidalia,Georgia,Toombs County
Dustin Booth - COUNTRY Financial representative,OPERATIONAL,"404 Church Street, Vidalia",32.2145404,-82.4146031,"32.21454039999999,-82.4146031",Vidalia,Georgia,Toombs County
Money Wize Financial Services,OPERATIONAL,"950 Lakewood Drive, Vidalia",32.1979175,-82.446154,"32.197917499999996,-82.44615399999998",Vidalia,Georgia,Montgomery County
Palmer & Associates Insurors,OPERATIONAL,"207 East 3rd Street, Vidalia",32.2139754,-82.4119108,"32.213975399999995,-82.4119108",Vidalia,Georgia,Toombs County
Ashford Advisors,OPERATIONAL,"313 Maple Drive, Vidalia",32.2065803,-82.3915981,"32.2065803,-82.3915981",Vidalia,Georgia,Toombs County
"Thigpen Agency, Inc",OPERATIONAL,"302 1st Avenue Ste 4, Vidalia",32.2191724,-82.4096821,"32.2191724,-82.4096821",Vidalia,Georgia,Toombs County
Georgia Farm Bureau,OPERATIONAL,"255 South Railroad Avenue, Mount Vernon",32.1759141,-82.5953771,"32.17591410000001,-82.5953771",Mount Vernon,Georgia,Montgomery County
"James M. Swain & Associates, Inc.",OPERATIONAL,"11 Harley Street, Baxley",31.7850823,-82.3490449,"31.785082300000003,-82.3490449",Baxley,Georgia,Appling County
Emergency Management Agency,OPERATIONAL,"3 Mc Rae Street, Alamo",32.1489724,-82.7826153,"32.14897240000001,-82.78261529999999",Alamo,Georgia,Wheeler County
State Farm Insurance,OPERATIONAL,"21 South 2nd Avenue, McRae-Helena",32.067415,-82.8994791,"32.067415000000004,-82.8994791",McRae-Helena,Georgia,Telfair County
Harrell Insurance,OPERATIONAL,"112 West Oak Street, McRae-Helena",32.0681104,-82.8979763,"32.0681104,-82.8979763",McRae-Helena,Georgia,Telfair County
Stamps-Walker Agency Inc,OPERATIONAL,"34 West Oak Street, McRae-Helena",32.0681953,-82.9006217,"32.0681953,-82.9006217",McRae-Helena,Georgia,Telfair County
Georgia Farm Bureau,OPERATIONAL,"193 East Oak Street, McRae-Helena",32.0619554,-82.8825022,"32.0619554,-82.88250219999998",McRae-Helena,Georgia,Telfair County
Allstate Insurance Agency,OPERATIONAL,"90 South Tallahassee Street, Hazlehurst",31.8621629,-82.6032568,"31.86216289999999,-82.6032568",Hazlehurst,Georgia,Jeff Davis County
Yates Insurance & Real Estate: Grimsley Wendell,OPERATIONAL,"2030 Veterans Boulevard, Dublin",32.5411038,-82.9503061,"32.5411038,-82.95030609999998",Dublin,Georgia,Laurens County
Alfa Insurance - Christina Morrell Agency,OPERATIONAL,"621 Virginia Avenue North Ste 4-B, Tifton",31.4629278,-83.5264035,"31.4629278,-83.5264035",Tifton,Georgia,Tift County
Insurance Unlimited,OPERATIONAL,"602 Tift Avenue, Tifton",31.4575832,-83.5063583,"31.4575832,-83.5063583",Tifton,Georgia,Tift County
Brian York: Allstate Insurance,OPERATIONAL,"162 South Virginia Avenue, Tifton",31.453843,-83.5278173,"31.453843,-83.5278173",Tifton,Georgia,Tift County
Skip Hill & Associates,OPERATIONAL,"1476 Carpenter Road, Tifton",31.4648155,-83.5036818,"31.464815500000004,-83.5036818",Tifton,Georgia,Tift County
Nationwide Insurance: Steve Allen Martin,OPERATIONAL,"311 West 12th Street Suite 1, Tifton",31.4651452,-83.5109457,"31.4651452,-83.51094570000001",Tifton,Georgia,Tift County
Georgia Farm Bureau,OPERATIONAL,Tifton,31.4504629,-83.5084973,"31.45046290000001,-83.5084973",Tifton,Georgia,Tift County
Securitas Financial Services,OPERATIONAL,"301 East Marion Avenue, Nashville",31.2068918,-83.2483092,"31.2068918,-83.24830920000001",Nashville,Georgia,Berrien County
Portier Insurance Agency,OPERATIONAL,"113 North Irwin Avenue, Ocilla",31.595037,-83.250109,"31.59503699999999,-83.250109",Ocilla,Georgia,Irwin County
Rest EZ Title Pawn,OPERATIONAL,"208 East Mcpherson Avenue, Nashville",31.2061236,-83.248993,"31.206123600000005,-83.248993",Nashville,Georgia,Berrien County
"Sumner Agency, Inc.",OPERATIONAL,"718 2nd Street West, Tifton",31.457359,-83.521529,"31.457359000000004,-83.521529",Tifton,Georgia,Tift County
Nationwide Insurance: Coleman Agency Inc.,OPERATIONAL,"210 West 6th Street, Tifton",31.458852,-83.5117891,"31.458852,-83.5117891",Tifton,Georgia,Tift County
Chance Veazey - State Farm Insurance Agent,OPERATIONAL,"1601 U.S. 41, Tifton",31.4705911,-83.5186608,"31.470591100000004,-83.51866079999998",Tifton,Georgia,Tift County
Ricky D Jackson Insurance Agency,OPERATIONAL,"Across from Walgreens, 2418 Sylvester Road # 4, Albany",31.5740642,-84.0897979,"31.57406420000001,-84.08979790000001",Albany,Georgia,Dougherty County
Progressive Insurance,OPERATIONAL,"2425 Westgate Drive Ste 131, Albany",31.603645,-84.210875,"31.603645,-84.210875",Albany,Georgia,Dougherty County
SunTrust,OPERATIONAL,"410 West Broad Avenue, Albany",31.5764911,-84.1576517,"31.576491100000002,-84.1576517",Albany,Georgia,Dougherty County
Georgia Farm Bureau,OPERATIONAL,"145 Robert B Lee Drive, Leesburg",31.7202461,-84.1685928,"31.72024609999999,-84.16859280000001",Leesburg,Georgia,Lee County
SunTrust,OPERATIONAL,"710 North Westover Boulevard, Albany",31.6153195,-84.2223776,"31.615319500000002,-84.2223776",Albany,Georgia,Dougherty County
SunTrust,OPERATIONAL,"1559 U.S. Highway 19 South, Leesburg",31.6313368,-84.1761625,"31.631336800000003,-84.1761625",Leesburg,Georgia,Lee County
Henry Harris: Allstate Insurance,OPERATIONAL,"217 Johnson Road Ste G, Albany",31.5712843,-84.0915493,"31.57128429999999,-84.0915493",Albany,Georgia,Dougherty County
Louis Powell Agency,OPERATIONAL,"1718 Gillionville Road, Albany",31.5810208,-84.1933031,"31.581020799999997,-84.1933031",Albany,Georgia,Dougherty County
Marvin Gibson: Allstate Insurance,OPERATIONAL,"1509A Dawson Road, Albany",31.5886276,-84.1867138,"31.58862759999999,-84.18671379999998",Albany,Georgia,Dougherty County
J Smith Lanier & Co,OPERATIONAL,"611 Pointe North Boulevard, Albany",31.6103965,-84.2264231,"31.610396500000004,-84.22642309999998",Albany,Georgia,Dougherty County
Reid Mathis: Allstate Insurance,OPERATIONAL,"1111 Whispering Pines Road, Albany",31.6052025,-84.1772151,"31.6052025,-84.1772151",Albany,Georgia,Dougherty County
Welforce,OPERATIONAL,"2301 Dawson Road # 2, Albany",31.603894,-84.204249,"31.603894,-84.20424899999998",Albany,Georgia,Dougherty County
"Toole Budget Insurance Agency, Inc.",OPERATIONAL,"1301 North Slappey Boulevard, Albany",31.5948296,-84.1763199,"31.594829600000004,-84.1763199",Albany,Georgia,Dougherty County
The Family Agency,OPERATIONAL,"1712 Gillionville Road, Albany",31.581001,-84.192456,"31.581001,-84.19245599999998",Albany,Georgia,Dougherty County
Steve Perrine - State Farm Insurance Agent,OPERATIONAL,"537 North Westover Boulevard, Albany",31.6072679,-84.2229466,"31.60726789999999,-84.22294659999999",Albany,Georgia,Dougherty County
Henry Brian,OPERATIONAL,"608 North Slappey Boulevard, Albany",31.5852161,-84.1758795,"31.585216100000004,-84.17587950000001",Albany,Georgia,Dougherty County
Auto-Owners Insurance Co,OPERATIONAL,"2415 Westgate Drive, Albany",31.604652,-84.2095582,"31.60465199999999,-84.20955819999998",Albany,Georgia,Dougherty County
Copelan Insurance,OPERATIONAL,"2401 North Slappey Boulevard, Albany",31.609191,-84.176225,"31.609191,-84.176225",Albany,Georgia,Dougherty County
